"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;","40.251572","43.939392","47.572815","29.885057","48.214287","41.322315","43.820225","47.142857","50","51.923077","53.076923","39.534885","38.197426","47.787609","44.347824","59.574467","60.975613","69.767441"
"2","Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;","15.72327","6.818182","8.737864","6.896552","8.928572","9.090909","16.853933","10","8.59375","7.692308","3.846154","14.728682","18.454937","6.19469","10.434782","9.574469","3.658536","13.953489"
"3","Bacteria;Actinobacteria;Actinobacteria;NA;NA;NA;NA;","1.257862","0.757576","0","0","0","0.826446","0","0","0","0","0.769231","0","0.429185","0","0.869565","0","0","0"
"4","Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;NA;","1.257862","2.272727","0","2.298851","1.190476","0.826446","0","0","0","0","0","2.325581","1.287554","0","0","0","0","0"
"5","Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;","1.257862","0.757576","0.970874","0","0","0","1.123595","0","0","0.961538","0","0.775194","1.287554","0.884956","0.869565","0","0","0"
"6","Bacteria;Proteobacteria;Deltaproteobacteria;NA;NA;NA;NA;","0.628931","4.545455","5.825243","2.298851","1.190476","4.958678","5.617978","10","3.90625","0","3.076923","2.325581","0.858369","1.769912","1.73913","3.191489","1.219512","0"
"7","Bacteria;Bacteroidetes;Cytophagia;NA;NA;NA;NA;","0.628931","0","0","1.149425","0","0","0","0","0","0","0","0","0","0.884956","0","0","0","0"
"11","Bacteria;Proteobacteria;Betaproteobacteria;NA;NA;NA;NA;","0","0.757576","0.970874","0.574713","0.595238","0","0","0","0","0.961538","0.769231","0","0.429185","0.884956","0","0","0","2.325581"
"12","Bacteria;Spirochaetes;Spirochaetia;NA;NA;NA;NA;","0","0.757576","0","2.298851","0","0","0","0","0","0","0.769231","0","0.429185","0","0","1.06383","0","0"
"13","Bacteria;Firmicutes;Negativicutes;NA;NA;NA;NA;","0","0.757576","0","0","0.595238","2.479339","0","1.428571","0","0.961538","0","0.775194","0","0","0.869565","0","0","0"
"14","Bacteria;Proteobacteria;Epsilonproteobacteria;NA;NA;NA;NA;","0","0","0.970874","0","1.190476","0.826446","0","0","0","0","0","0","0","0","0.869565","0","1.219512","0"
"12.1","Unclassified","38.99371","38.636364","34.951456","54.5977","38.095237","39.669421","32.584269","31.428572","37.5","37.500001","37.692307","39.534883","38.626605","41.592921","40.000004","26.595745","32.926827","13.953489"
