"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;","7.5","17.5","13.157895","8.888889","10","9.375","0","8.333334","11.764706","13.157895","11.764706","10","19.178082","8.108108","25.80645","14.285715","37.5","55.555557"
"2","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;","7.5","7.5","2.631579","2.222222","3.333333","6.25","0","0","0","2.631579","8.823529","5","4.109589","0","0","0","0","0"
"3","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;","7.5","5","10.526316","17.777779","6.666667","9.375","0","0","0","5.263158","5.882353","20","12.328767","2.702703","9.677419","0","0","11.111112"
"4","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;NA;","2.5","0","2.631579","0","0","0","0","0","5.882353","0","2.941176","0","1.369863","2.702703","0","0","0","0"
"6","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA;","2.5","2.5","0","2.222222","0","0","0","0","0","0","0","5","1.369863","0","0","7.142858","12.5","0"
"7","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;NA;","2.5","2.5","0","0","0","0","0","8.333334","0","0","0","5","0","0","0","7.142858","0","11.111112"
"8","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;NA;","2.5","2.5","0","2.222222","0","3.125","6.666667","0","5.882353","0","2.941176","0","0","2.702703","0","0","0","0"
"12","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;","0","7.5","2.631579","0","6.666667","3.125","0","0","5.882353","5.263158","5.882353","0","1.369863","0","3.225806","0","12.5","0"
"14","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Mariniphaga;NA;","0","2.5","0","0","3.333333","0","0","0","0","0","2.941176","0","1.369863","0","0","0","0","0"
"16","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;","0","0","2.631579","0","0","0","0","0","0","0","0","5","2.739726","0","0","0","0","0"
"17","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;NA;","0","0","2.631579","2.222222","0","0","0","0","0","2.631579","0","0","0","0","0","0","0","0"
"18","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;Dysgonomonas;NA;","0","0","2.631579","2.222222","3.333333","0","6.666667","8.333334","0","2.631579","5.882353","5","1.369863","0","3.225806","0","0","11.111112"
"19","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA;","0","0","2.631579","2.222222","0","0","0","0","5.882353","2.631579","2.941176","0","0","2.702703","3.225806","0","0","0"
"22","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;NA;","0","0","0","0","0","0","6.666667","0","0","0","0","0","1.369863","0","0","7.142858","0","0"
"23","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hungatella;NA;","0","0","0","0","0","0","6.666667","8.333334","0","0","0","0","0","0","0","0","12.5","0"
"24","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;NA;","0","0","0","0","0","0","0","8.333334","5.882353","2.631579","2.941176","0","0","0","0","0","0","0"
"17.1","Unclassified","67.5","52.5","57.894736","60","66.666667","68.75","73.333332","58.33333","58.823529","63.157894","47.058826","45","53.424658","81.08108","54.838713","64.285711","25","11.111107"
