"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus flavefaciens;","5","5","0","0","0","6.25","0","0","0","0","5.882353","0","2.739726","0","0","0","0","0"
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-110 (HZI);","5","5","5.263158","4.444445","0","3.125","13.333334","16.666668","11.764706","0","5.882353","0","1.369863","5.405406","6.451612","7.142858","0","0"
"4","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii;","2.5","2.5","0","0","3.333333","3.125","0","8.333334","5.882353","5.263158","2.941176","0","1.369863","0","3.225806","7.142858","0","11.111112"
"5","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:1060;","2.5","0","0","0","3.333333","0","0","0","5.882353","0","0","0","1.369863","2.702703","0","0","12.5","0"
"6","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. CAG:1013;","2.5","0","0","2.222222","0","0","0","0","0","0","2.941176","5","0","2.702703","0","0","0","0"
"7","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;Chryseobacterium sp. ERMR1:04;","2.5","0","2.631579","0","0","0","0","0","5.882353","0","2.941176","0","1.369863","2.702703","0","0","0","0"
"8","Bacteria;Planctomycetes;NA;NA;NA;NA;Planctomycetes bacterium;","2.5","0","0","0","0","0","0","0","0","2.631579","0","0","0","0","3.225806","0","0","0"
"9","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes sp. Z76;","2.5","2.5","0","2.222222","0","0","0","0","0","0","0","5","1.369863","0","0","7.142858","12.5","0"
"10","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum sp. H5;","2.5","2.5","0","2.222222","0","3.125","6.666667","0","5.882353","0","2.941176","0","0","2.702703","0","0","0","0"
"14","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;Bacteroidales bacterium;","0","5","5.263158","2.222222","6.666667","3.125","0","0","5.882353","2.631579","5.882353","0","0","8.108108","3.225806","7.142858","0","0"
"15","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides eggerthii;","0","2.5","0","0","0","0","0","0","0","0","0","0","1.369863","2.702703","0","0","0","11.111112"
"16","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris;","0","2.5","0","2.222222","0","0","0","0","0","2.631579","2.941176","0","0","0","0","0","0","0"
"17","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri;","0","2.5","0","0","0","0","0","0","5.882353","2.631579","2.941176","0","1.369863","0","3.225806","0","12.5","0"
"18","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium A4;","0","2.5","0","0","0","0","0","0","5.882353","5.263158","0","0","0","2.702703","3.225806","0","0","0"
"21","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides timonensis;","0","2.5","0","2.222222","0","0","0","0","0","0","0","0","4.109589","0","3.225806","0","0","0"
"22","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Mariniphaga;Mariniphaga sediminis;","0","2.5","0","0","3.333333","0","0","0","0","0","2.941176","0","1.369863","0","0","0","0","0"
"24","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. MGM1;","0","2.5","0","0","3.333333","3.125","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-037 (Harlan);","0","2.5","2.631579","2.222222","0","3.125","0","0","5.882353","2.631579","2.941176","0","1.369863","5.405406","0","7.142858","0","0"
"27","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium xylanophilum;","0","0","2.631579","2.222222","0","0","0","0","0","2.631579","0","0","0","0","0","0","0","0"
"28","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:462;","0","0","2.631579","2.222222","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"33","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;Dysgonomonas;Dysgonomonas massiliensis;","0","0","2.631579","2.222222","3.333333","0","6.666667","8.333334","0","2.631579","2.941176","5","1.369863","0","3.225806","0","0","11.111112"
"34","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella sp. WM24;","0","0","2.631579","2.222222","0","0","0","0","5.882353","2.631579","2.941176","0","0","2.702703","3.225806","0","0","0"
"36","Bacteria;NA;NA;NA;NA;NA;uncultured bacterium Contig1549a;","0","0","0","2.222222","0","0","6.666667","0","0","2.631579","0","0","0","0","0","0","0","0"
