"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;NA;NA;NA;NA;NA;","40.880505","43.939392","47.572815","31.034481","49.404762","41.322315","43.820225","48.57143","50.78125","51.923077","53.076923","40.310078","38.62661","48.672565","45.217392","60.638298","62.195122","72.093025"
"2","Bacteria;Firmicutes;NA;NA;NA;NA;NA;","18.238993","8.333334","9.708737","7.471264","9.523809","12.396694","17.977528","11.428572","8.59375","11.538462","3.846154","17.054264","19.742489","7.964602","12.173913","9.574469","3.658536","13.953489"
"3","Bacteria;Proteobacteria;NA;NA;NA;NA;NA;","2.515723","9.090909","8.737864","5.747127","4.166667","6.61157","5.617978","10","3.90625","0.961538","4.615385","5.426357","3.433476","4.424779","2.608696","4.255319","3.658536","2.325581"
"4","Bacteria;Actinobacteria;NA;NA;NA;NA;NA;","1.257862","0.757576","0","0","0","0.826446","0","0","0","0","0.769231","0","0.429185","0","0.869565","0","0","0"
"5","Bacteria;Candidatus Melainabacteria;NA;NA;NA;NA;NA;","0.628931","3.030303","0","3.448276","1.785714","0","0","0","0.78125","0","0.769231","1.550388","0.429185","1.769912","0.869565","0","1.219512","0"
"9","Bacteria;Spirochaetes;NA;NA;NA;NA;NA;","0","0.757576","0","2.298851","0","0","0","0","0","0","0.769231","0","0.429185","0","0","1.06383","0","0"
"7","Unclassified","36.477986","34.09091","33.980584","50.000001","35.119048","38.842975","32.584269","29.999998","35.9375","35.576923","36.153845","35.658913","36.90987","37.168142","38.260869","24.468084","29.268294","11.627905"
