"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;NA;","16.393442","14","24.13793","25.581396","18.918919","14.285715","25","18.75","10.526316","6.666667","2.631579","13.333334","10","17.391304","9.090909","20","25","71.428574"
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;","9.836065","16","24.13793","16.27907","16.216215","11.428572","12.5","25","36.842106","33.333336","18.421053","4.444445","15.555556","30.434782","18.181818","24","12.5","28.57143"
"3","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;NA;NA;","3.278688","8","0","4.651163","5.405406","8.571429","0","0","5.263158","0","2.631579","2.222222","1.111111","4.347826","4.545455","0","12.5","0"
"4","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;NA;NA;NA;","1.639344","0","3.448276","2.325581","0","0","0","0","5.263158","0","0","0","1.111111","0","0","0","0","0"
"8","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;NA;NA;NA;","0","2","0","0","0","0","0","6.25","0","0","2.631579","2.222222","1.111111","0","0","4","6.25","0"
"9","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NA;NA;NA;","0","2","3.448276","2.325581","2.702703","2.857143","0","0","0","0","0","0","0","0","0","4","0","0"
"11","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA;NA;NA;","0","2","0","0","0","0","0","0","0","0","2.631579","0","0","0","4.545455","0","0","0"
"12","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;NA;NA;NA;","0","0","3.448276","2.325581","0","0","0","6.25","0","0","0","2.222222","1.111111","4.347826","0","0","6.25","0"
"14","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;NA;NA;NA;","0","0","0","0","0","0","12.5","0","5.263158","0","0","0","1.111111","0","0","0","0","0"
"10","Unclassified","68.852461","56","41.379312","46.511628","56.756757","62.857141","50","43.75","36.842104","59.999997","71.052631","75.555555","68.888889","43.478262","63.636363","48","37.5","-3.99999998990097e-06"
