"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;","7.568807","12.5972","17.896679","9.21659","14.525993","12.692308","13.975904","16.620499","15.677966","16.550524","15.586691","7.673569","12.300469","12.810707","16.945606","18.469658","13.945578","26.829269"
"2","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;NA;","4.472477","2.332815","2.398524","3.456221","2.446483","6.153846","3.855422","2.216066","2.330508","2.090592","1.225919","4.628502","4.319249","3.632887","2.92887","2.638522","3.401361","0.487805"
"3","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;NA;","2.408257","2.332815","2.214022","1.958525","1.223242","0.769231","2.650602","2.216066","2.330508","1.916376","1.401051","2.436054","1.032864","1.529637","1.046025","2.110818","1.020408","0"
"4","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;","2.178899","1.866252","2.583026","2.880184","1.070336","1.730769","0.240964","0.831025","0.635593","1.74216","1.401051","1.583435","1.877934","1.529637","2.92887","0.527704","1.360544","5.853659"
"5","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;NA;","1.949541","1.55521","1.291513","0.576037","0.917431","2.115385","1.445783","1.66205","1.271186","1.045296","1.926445","1.339829","1.12676","1.720841","0.41841","1.846966","0.340136","0.487805"
"6","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;","1.720183","1.399689","1.107011","1.382488","0.458716","0.576923","1.204819","1.939058","1.90678","1.219512","0.875657","1.218027","1.314554","1.529637","1.046025","0.527704","0.340136","0"
"7","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;","1.490826","0.466563","0.553506","1.036866","1.070336","0.961538","0.722892","0.554017","0.423729","0.348432","0.875657","1.339829","1.690141","1.338432","1.046025","0.791557","0.340136","0.97561"
"8","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Gemmiger;NA;","1.376147","0.466563","0.553506","0.806452","0.458716","0.384615","0.240964","0.831025","0.423729","0.696864","0.875657","1.339829","0.938967","0.764818","0.627615","0.263852","0.340136","0"
"9","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;NA;","1.261468","0.155521","0.738007","1.267281","0.611621","0.576923","0.481928","1.108033","0.423729","0.522648","1.401051","1.339829","1.12676","1.529637","0.41841","0.263852","0.340136","0.97561"
"10","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Murimonas;NA;","1.261468","0.311042","0.184502","1.152074","0.152905","0.384615","1.927711","0.831025","0.635593","0.522648","0.700525","0.852619","0.657277","0.382409","0","0.263852","0.340136","0.97561"
"11","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;","1.146789","2.332815","2.02952","1.267281","1.834862","1.923077","0.481928","0.554017","1.271186","1.916376","2.977233","1.096224","1.408451","2.294455","2.301255","0.791557","1.360544","0.97561"
"12","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;NA;","1.03211","1.55521","1.291513","1.843318","1.529052","0.576923","1.686747","1.66205","0.847458","0.696864","0.700525","1.339829","0.938967","1.147228","0.627615","1.055409","1.020408","1.95122"
"13","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;","1.03211","1.399689","2.214022","1.612903","2.752294","1.538462","2.650602","3.3241","2.542373","1.916376","3.327496","1.583435","1.877934","1.147228","2.09205","1.055409","2.040816","1.95122"
"14","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;NA;","0.917431","1.088647","1.291513","1.267281","0.917431","0.769231","2.891566","1.385041","0.847458","1.567944","1.050788","0.487211","0.469484","0.191205","0.627615","0","2.040816","4.390244"
"15","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA;","0.802752","0.311042","1.845018","0.921659","1.376147","0.961538","1.204819","1.66205","1.694915","1.393728","1.576182","0.487211","0.751174","0.382409","0.83682","3.166227","1.360544","2.439024"
"16","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;NA;","0.688073","0.933126","0.553506","0.576037","0.30581","0.576923","0","0.831025","0.847458","1.393728","0.525394","1.096224","0.469484","0.956023","0.83682","0.527704","2.380952","0.97561"
"17","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA;","0.573394","1.710731","2.02952","1.843318","2.446483","1.923077","1.686747","0.831025","2.966102","0.87108","1.225919","1.461632","1.12676","0.956023","3.138075","3.693932","3.061224","5.365854"
"18","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Neglecta;NA;","0.573394","0","0.184502","0.230415","0.152905","0.576923","1.445783","0","0","0","0","0.609013","0.657277","0","0","0.263852","0","0"
"19","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Kineothrix;NA;","0.573394","0.311042","0.184502","0.460829","0.611621","1.153846","0.240964","0.831025","0.211864","0.174216","0.350263","0.974422","0.657277","0.382409","0.627615","0.791557","0.340136","0.487805"
