"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;","40.251572","43.939392","47.572815","29.885057","48.214287","41.322315","43.820225","47.142857","50","51.923077","53.076923","39.534885","38.197426","47.787609","44.347824","58.510635","60.975613","69.767441"
"2","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;NA;","15.72327","6.818182","8.737864","6.896552","8.928572","9.090909","16.853933","10","8.59375","7.692308","3.846154","14.728682","18.454937","6.19469","10.434782","9.574469","3.658536","13.953489"
"3","Bacteria;Firmicutes;Bacilli;Bacillales;NA;NA;NA;","1.257862","0.757576","0.970874","0","0","0","1.123595","0","0","0.961538","0","0.775194","0.858369","0.884956","0.869565","0","0","0"
"4","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;NA;NA;NA;","1.257862","2.272727","0","2.298851","0","0","0","0","0","0","0","1.550388","0.429185","0","0","0","0","0"
"6","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;NA;NA;NA;","0.628931","4.545455","5.825243","2.298851","1.190476","4.958678","5.617978","10","3.90625","0","3.076923","2.325581","0.858369","1.769912","1.73913","3.191489","1.219512","0"
"7","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA;NA;NA;","0.628931","0","0","1.149425","0","0","0","0","0","0","0","0","0","0.884956","0","0","0","0"
"8","Bacteria;Candidatus Melainabacteria;NA;Candidatus Gastranaerophilales;NA;NA;NA;","0.628931","2.272727","0","3.448276","1.785714","0","0","0","0.78125","0","0.769231","1.550388","0.429185","0.884956","0.869565","0","1.219512","0"
"12","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;NA;NA;NA;","0","0.757576","0.970874","0.574713","0.595238","0","0","0","0","0.961538","0.769231","0","0.429185","0.884956","0","0","0","2.325581"
"13","Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;NA;NA;NA;","0","0.757576","0","2.298851","0","0","0","0","0","0","0.769231","0","0.429185","0","0","1.06383","0","0"
"15","Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;NA;NA;NA;","0","0","0.970874","0","1.190476","0.826446","0","0","0","0","0","0","0","0","0.869565","0","1.219512","0"
"16","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;NA;NA;NA;","0","0","0","0","1.190476","0.826446","0","0","0","0","0","0","0.858369","0","0","0","0","0"
"18","Bacteria;Firmicutes;Negativicutes;Selenomonadales;NA;NA;NA;","0","0","0","0","0","2.479339","0","0","0","0","0","0.775194","0","0","0.869565","0","0","0"
"13.1","Unclassified","39.622641","37.878789","34.951456","51.149424","36.904761","40.495867","32.584269","32.857143","36.71875","38.461539","37.692307","38.759688","39.05579","40.707965","40.000004","27.659577","31.707315","13.953489"
