"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;","58.139534","59.183674","64.705887","42.105263","58.571426","72.222221","71.428574","75","61.666668","70.588234","63.15789","67.647057","66.666672","69.565216","82.857147","73.529411","45.454548","90.909096"
"3","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;NA;NA;NA;","4.651163","2.040816","2.941176","3.947368","1.428571","0","0","8.333334","0","0","2.631579","2.941176","1.515152","0","0","2.941176","3.030303","0"
"4","Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;NA;NA;NA;","4.651163","4.081633","0","2.631579","0","0","0","0","3.333333","5.882353","0","0","1.515152","6.521739","0","0","6.060606","0"
"5","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA;NA;NA;","2.325581","0","0","0","0","0","3.571429","0","1.666667","0","0","0","0","0","0","0","0","0"
"9","Bacteria;Candidatus Melainabacteria;NA;Candidatus Gastranaerophilales;NA;NA;NA;","0","4.081633","2.941176","7.894736","5.714286","5.555556","3.571429","0","5","0","2.631579","2.941176","4.545455","4.347826","0","5.882353","15.151516","0"
"10","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;NA;","0","2.040816","5.882353","10.526316","1.428571","2.777778","3.571429","4.166667","3.333333","11.764706","2.631579","2.941176","6.060606","4.347826","2.857143","2.941176","6.060606","0"
"12","Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;NA;NA;NA;","0","0","2.941176","1.315789","2.857143","0","0","4.166667","0","0","0","2.941176","0","0","2.857143","0","0","0"
"14","Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;NA;NA;NA;","0","0","0","1.315789","2.857143","0","0","0","0","0","0","0","0","0","0","0","3.030303","0"
"15","Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;NA;NA;NA;","0","0","0","0","0","0","0","0","0","0","2.631579","0","0","2.173913","0","0","3.030303","0"
"10.1","Unclassified","30.232559","28.571428","20.588232","30.26316","27.14286","19.444445","17.857139","8.333332","24.999999","11.764707","26.315794","20.588239","19.696963","13.04348","11.428567","14.705884","18.181815","9.09090399999999"
