"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;","15.476191","14.754099","23.333334","27.5","28.333334","30.434782","23.076923","30.769232","28.57143","25.641027","27.419355","14.285715","15.555556","16","19.047619","51.219513","52.63158","40.909092"
"2","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;NA;","3.571429","4.918033","0","1.25","1.666667","0","0","0","0","0","0","1.785714","0.740741","0","0","2.439024","0","0"
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;NA;","3.571429","1.639344","1.666667","1.25","1.666667","4.347826","5.128205","0","0","2.564103","1.612903","5.357143","0","2","2.380952","0","0","0"
"4","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;","2.380952","8.196721","6.666667","6.25","5","10.869565","0","0","0","3.846154","6.451612","5.357143","1.481481","8","7.142858","4.878048","0","4.545455"
"5","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;","2.380952","1.639344","0","1.25","1.666667","0","0","0","0","0","0","0","0.740741","0","0","0","0","0"
"6","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;","1.190476","1.639344","0","0","0","0","0","3.846154","0","0","0","1.785714","0","0","0","0","0","0"
"9","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;NA;","1.190476","1.639344","0","1.25","0","0","0","3.846154","0","1.282051","0","1.785714","0","0","0","0","0","9.090909"
"14","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;NA;","0","3.278688","3.333333","0","0","0","0","0","0","1.282051","0","0","0","0","0","0","0","0"
"15","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA;","0","1.639344","1.666667","1.25","1.666667","0","0","0","0","0","4.838709","0","0.740741","0","0","0","0","0"
"16","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;NA;","0","0","3.333333","0","0","0","5.128205","0","0","1.282051","0","3.571429","0","0","0","2.439024","5.263158","0"
"17","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;","0","0","1.666667","1.25","1.666667","2.173913","0","3.846154","0","2.564103","1.612903","1.785714","2.222222","0","0","0","0","4.545455"
"18","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter;NA;","0","0","1.666667","0","0","2.173913","0","0","0","2.564103","0","0","0","0","0","0","0","0"
"19","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Mangrovibacterium;NA;","0","0","1.666667","0","0","0","0","0","2.380952","0","0","0","0.740741","0","0","0","5.263158","0"
"20","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hungatella;NA;","0","0","1.666667","0","1.666667","0","7.692308","11.538462","7.142858","1.282051","0","0","0.740741","2","0","2.439024","0","13.636364"
"21","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;NA;","0","0","1.666667","0","0","0","0","3.846154","0","0","1.612903","0","0.740741","2","0","2.439024","0","0"
"22","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA;","0","0","0","1.25","0","2.173913","2.564103","0","2.380952","0","1.612903","1.785714","0","0","4.761905","4.878048","0","4.545455"
"25","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Sunxiuqinia;NA;","0","0","0","0","0","0","0","3.846154","0","0","0","0","0","2","2.380952","0","0","0"
"18.1","Unclassified","70.238095","60.655739","51.666664","57.5","56.666664","47.826088","56.410256","38.461536","59.523808","57.692306","54.838712","62.5","76.296295","68","64.285714","29.268295","36.842104","22.72727"
