"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes sp. Z76;","2.797203","3.125","0","2.542373","3.448276","4.716981","3.409091","0","0","0","4.081633","3","1.714286","3.75","0","5.617978","0","0"
"2","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus castaneae;","2.097902","0","0","0.847458","0.862069","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium;","2.097902","2.083333","1.219512","2.542373","1.724138","0","1.136364","2.439024","0.925926","0.970874","3.061224","1","1.142857","0","1.449275","1.123595","0","0"
"4","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus;","1.398601","0","1.219512","0","0.862069","0","0","1.219512","1.851852","0.970874","1.020408","1","0","1.25","0","1.123595","1.851852","3.174603"
"5","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium plexicaudatum;","1.398601","0","1.219512","0","0","0","1.136364","0","0","0","0","0","0.571429","1.25","1.449275","0","0","0"
"6","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;Acetatifactor muris;","1.398601","2.083333","2.439024","1.694915","0.862069","0","1.136364","0","0.925926","0","1.020408","1","1.142857","0","0","0","0","0"
"7","Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;Oscillibacter sp. 1-3;","1.398601","3.125","0","0.847458","0.862069","3.773585","0","0","1.851852","0","0","2","1.142857","0","1.449275","0","0","0"
"8","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;Dorea sp. 5-2;","1.398601","0","0","0.847458","0","0.943396","1.136364","0","0.925926","0.970874","0","1","1.714286","0","1.449275","1.123595","1.851852","3.174603"
"9","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium;","1.398601","0","0","1.694915","1.724138","0.943396","1.136364","1.219512","0.925926","0","0","2","1.142857","1.25","0","0","0","0"
"10","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. MGM2;","1.398601","3.125","3.658536","0.847458","3.448276","2.830189","1.136364","1.219512","2.777778","1.941748","1.020408","1","0.571429","3.75","1.449275","1.123595","1.851852","0"
"11","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-104 (HZI);","1.398601","1.041667","1.219512","0.847458","1.724138","0","1.136364","1.219512","0","1.941748","2.040816","0","0","0","1.449275","1.123595","1.851852","1.587302"
"14","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae;","0.699301","1.041667","1.219512","0.847458","0.862069","0","0","1.219512","0.925926","0.970874","1.020408","0","0.571429","1.25","0","1.123595","1.851852","1.587302"
"15","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae;","0.699301","0","0","1.694915","0.862069","0.943396","1.136364","0","0","0","2.040816","0","0","0","0","2.247191","0","0"
"19","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia intestinalis;","0.699301","0","0","0","0","0","0","0","0","0.970874","0","0","0","0","0","1.123595","0","0"
"22","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila;","0.699301","1.041667","0","0.847458","0","0","0","0","0","0","1.020408","1","0.571429","0","0","1.123595","0","0"
"23","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis;","0.699301","0","0","0.847458","0","0","1.136364","0","0","0","0","0","0","0","0","0","0","0"
"24","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halolactibacillus;Halolactibacillus halophilus;","0.699301","0","0","0.847458","0.862069","0","0","0","0","0","0","0","0.571429","0","0","0","0","0"
"26","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii;","0.699301","2.083333","1.219512","0.847458","0.862069","0","0","1.219512","0.925926","1.941748","2.040816","1","0.571429","1.25","0","1.123595","1.851852","1.587302"
"27","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus;Butyricicoccus pullicaecorum;","0.699301","0","0","0","0","1.886792","0","0","0","0","0","1","0.571429","0","1.449275","0","0","0"
"28","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fluxus;","0.699301","1.041667","1.219512","0.847458","0.862069","0.943396","1.136364","1.219512","0.925926","0.970874","1.020408","1","0.571429","1.25","1.449275","1.123595","0","0"
"29","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava;","0.699301","0","1.219512","0","0","0","0","0","0","0","1.020408","0","0","0","0","0","0","0"
"30","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides rodentium;","0.699301","2.083333","0","0.847458","1.724138","1.886792","2.272727","2.439024","0.925926","0","1.020408","2","0.571429","1.25","2.898551","0","0","0"
"31","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;Colwellia sp. 75C3;","0.699301","1.041667","0","0","0","0","0","0","0","0.970874","0","0","0","0","0","0","0","1.587302"
"34","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:754;","0.699301","1.041667","1.219512","0.847458","0.862069","0.943396","1.136364","0","0.925926","0","1.020408","1","0","0","0","1.123595","1.851852","0"
"35","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. CAG:508;","0.699301","0","0","0.847458","0","0","0","0","0.925926","0","1.020408","1","0","0","0","0","0","0"
"36","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. CAG:891;","0.699301","0","1.219512","0","0.862069","0.943396","0","0","0","0.970874","0","0","0","0","0","0","0","0"
"37","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. CAG:177;","0.699301","0","0","0","0.862069","0","0","0","0","0","0","1","0.571429","0","0","0","0","0"
"39","Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:646;","0.699301","0","0","0.847458","0.862069","0","0","0","0","0","0","0","0.571429","1.25","0","0","0","0"
"46","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;NA;Peptococcaceae bacterium 1109;","0.699301","0","1.219512","0","0.862069","0","0","0","0","0","0","1","0.571429","0","0","0","0","0"
"47","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides congonensis;","0.699301","1.041667","0","0","0","0.943396","1.136364","1.219512","0.925926","0.970874","1.020408","1","0.571429","0","0","0","0","1.587302"
"48","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Fabibacter;Fabibacter sp. 4D4;","0.699301","1.041667","1.219512","0.847458","0","0","0","0","0","0","1.020408","0","0","0","0","0","0","0"
"50","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus;Butyricicoccus porcorum;","0.699301","0","2.439024","0","0","0","1.136364","1.219512","0","3.883495","0","0","0.571429","3.75","4.347826","1.123595","0","0"
"51","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaeromassilibacillus;Anaeromassilibacillus sp. An200;","0.699301","1.041667","0","0.847458","0.862069","0","1.136364","0","0","0","0","0","0.571429","0","0","0","0","0"
"52","Bacteria;Verrucomicrobia;Opitutae;NA;NA;NA;Opitutae bacterium;","0.699301","1.041667","0","0.847458","0","0","0","0","0","0","1.020408","0","0","0","0","0","0","0"
"53","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter sp. Z80;","0.699301","0","0","0","0","0","0","0","0.925926","0.970874","0","0","0.571429","1.25","0","0","0","0"
"54","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;Anaerotruncus sp. 1XD22-93;","0.699301","1.041667","0","0","0","0","2.272727","1.219512","0.925926","0","0","1","0","0","0","0","0","0"
"56","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. CH2-D42-20;","0.699301","0","0","0.847458","0","0","0","0","0.925926","0.970874","0","0","0","0","1.449275","0","0","1.587302"
"57","Bacteria;NA;NA;NA;NA;NA;bacterium D16-76;","0.699301","0","0","0","0","1.886792","0","0","0","0","0","0","0.571429","0","0","0","0","0"
"60","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes communis;","0.699301","2.083333","1.219512","0","0.862069","1.886792","0","1.219512","2.777778","0.970874","0","2","0.571429","0","1.449275","2.247191","0","0"
"64","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lacrimispora;Lacrimispora aerotolerans;","0","1.041667","0","0","0","0","0","0","0.925926","0.970874","0","0","0","0","0","0","0","0"
"67","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia schinkii;","0","1.041667","0","0.847458","0","0","0","1.219512","0","0.970874","0","0","0","0","0","0","1.851852","0"
"68","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides oleiciplenus;","0","1.041667","0","0.847458","0.862069","0.943396","1.136364","1.219512","0.925926","0","1.020408","1","1.142857","1.25","0","0","0","0"
"70","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes sp. CAG:268;","0","1.041667","0","0","0","0","0","0","0","0","0","0","0","1.25","1.449275","0","0","0"
"71","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. CAG:409;","0","1.041667","0","0","0.862069","0.943396","0","0","0.925926","0","1.020408","0","1.142857","0","0","0","1.851852","0"
"73","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes senegalensis;","0","1.041667","1.219512","0","0","0.943396","0","0","0","0.970874","0","0","0","0","0","0","0","0"
"74","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Murimonas;Murimonas intestini;","0","1.041667","0","0.847458","0.862069","0","0","0","0","0","1.020408","0","0","0","0","0","0","0"
"75","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. FC2018;","0","1.041667","0","0.847458","0","0","1.136364","1.219512","0.925926","0","0","0","1.142857","0","0","1.123595","0","1.587302"
"76","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes timonensis;","0","1.041667","0","0","0","0","0","0","0.925926","0","0","0","0","0","0","1.123595","0","0"
"79","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acutalibacter;Acutalibacter muris;","0","1.041667","0","0.847458","0","0.943396","0","0","0","0","1.020408","0","0","0","0","0","0","0"
"82","Bacteria;Candidatus Omnitrophica;NA;NA;NA;NA;Candidatus Omnitrophica bacterium;","0","1.041667","0","0","0","0.943396","0","0","0.925926","0","0","0","0","0","0","0","0","0"
"85","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. AM58-7XD;","0","1.041667","0","0.847458","0","0","0","1.219512","0","0","0","0","0","0","0","0","0","0"
"86","Bacteria;NA;NA;NA;NA;NA;bacterium 0.1xD8-71;","0","1.041667","0","0.847458","0","0.943396","0","0","0","0","1.020408","0","0.571429","0","0","0","0","0"
"87","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-110 (HZI);","0","1.041667","0","0","0","0","0","0","0","0","1.020408","0","0.571429","0","0","0","0","0"
"88","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. NM69_E16B;","0","1.041667","0","0.847458","0.862069","0","1.136364","0","0.925926","0","1.020408","1","0.571429","2.5","1.449275","1.123595","0","1.587302"
"90","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella;Tannerella forsythia;","0","0","1.219512","0","0","0","0","0","0","0.970874","1.020408","0","0","0","0","0","0","0"
"91","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Ornithobacterium;Ornithobacterium rhinotracheale;","0","0","1.219512","0","1.724138","0","1.136364","0","0","0","0","1","0","0","0","0","1.851852","0"
"93","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Hungatella;Hungatella hathewayi;","0","0","1.219512","0","0","0","0","2.439024","0","0","0","0","0","0","0","0","7.407407","0"
"94","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;Dysgonomonas;uncultured Dysgonomonas sp.;","0","0","1.219512","0","0","0.943396","0","1.219512","0","0","0","0","0","0","0","0","0","0"
"95","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;Oribacterium sinus;","0","0","1.219512","0","0.862069","0","0","0","0","0","0","0","0","0","1.449275","0","0","0"
"97","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus sp. CAG:382;","0","0","1.219512","0.847458","0","0","3.409091","0","0","0","0","3","0.571429","0","1.449275","0","0","0"
