"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;","13.114754","6","10.344828","13.953489","10.810811","8.571429","0","6.25","5.263158","3.333333","2.631579","6.666667","8.888889","13.043478","9.090909","4","12.5","0"
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;","4.918033","6","3.448276","4.651163","0","2.857143","0","0","10.526316","10","13.157895","2.222222","3.333333","13.043478","4.545455","8","0","0"
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;","3.278688","10","20.689655","11.627908","16.216215","5.714286","12.5","18.75","21.052631","20","5.263158","2.222222","10","17.391304","9.090909","12","12.5","28.57143"
"4","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;NA;NA;","3.278688","8","0","4.651163","5.405406","8.571429","0","0","5.263158","0","2.631579","2.222222","1.111111","4.347826","4.545455","0","12.5","0"
"5","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;","1.639344","2","0","4.651163","2.702703","2.857143","12.5","6.25","0","0","0","4.444445","0","0","0","8","6.25","57.14286"
"6","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;NA;NA;","1.639344","0","3.448276","2.325581","0","0","0","0","5.263158","0","0","0","1.111111","0","0","0","0","0"
"10","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;NA;","0","2","3.448276","2.325581","2.702703","2.857143","0","0","0","0","0","0","0","0","0","4","0","0"
"11","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;NA;NA;","0","2","0","0","0","0","0","0","0","0","2.631579","0","0","0","4.545455","0","0","0"
"13","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;NA;NA;","0","2","0","0","0","0","0","6.25","0","0","2.631579","2.222222","1.111111","0","0","4","6.25","0"
"14","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;NA;NA;","0","0","3.448276","2.325581","0","0","0","6.25","0","0","0","2.222222","0","4.347826","0","0","0","0"
"15","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;","0","0","3.448276","2.325581","2.702703","2.857143","12.5","0","0","0","0","2.222222","0","0","0","4","0","0"
"18","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;NA;NA;","0","0","0","0","0","0","12.5","0","5.263158","0","0","0","1.111111","0","0","0","0","0"
"19","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA;NA;","0","0","0","0","0","0","0","0","5.263158","3.333333","0","0","1.111111","0","4.545455","4","0","0"
"14.1","Unclassified","72.131149","62","51.724137","51.16279","59.459459","65.714284","50","56.25","42.105263","63.333334","71.052631","75.555556","72.222223","47.826088","63.636362","52","50","14.28571"
