"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;","13.286713","11.458334","21.95122","16.101696","18.103447","15.094339","17.045454","25.609756","12.962963","22.330097","23.469389","17","17.714287","13.75","24.637682","20.224718","16.666668","26.984129"
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA;","6.993007","9.375","7.317073","6.779661","10.344828","1.886792","1.136364","12.195122","9.259259","11.650486","10.204082","5","6.857142","6.25","4.347826","11.235955","12.962963","11.111112"
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA;","5.594406","10.416666","2.439024","3.389831","8.620689","9.433963","5.681818","2.439024","6.481482","2.912621","7.142858","11","5.714286","6.25","8.695652","11.235955","1.851852","6.349207"
"4","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;NA;","3.496503","0","0","0.847458","1.724138","0","0","0","0","0.970874","1.020408","0","0.571429","1.25","0","0","0","0"
"5","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;NA;","2.797203","0","1.219512","0","0.862069","1.886792","1.136364","1.219512","0","0.970874","0","2","1.142857","2.5","1.449275","0","0","0"
"6","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Butyricicoccus;NA;","2.797203","0","2.439024","0","0","1.886792","1.136364","1.219512","0","3.883495","0","1","1.142857","3.75","7.246377","1.123595","0","0"
"7","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;","2.097902","4.166667","6.097561","0.847458","5.172414","4.716981","1.136364","1.219512","4.62963","3.883495","1.020408","1","1.714286","3.75","1.449275","1.123595","3.703704","0"
"8","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;","2.097902","0","0","1.694915","0","3.773585","3.409091","1.219512","3.703704","1.941748","2.040816","2","4.571428","6.25","1.449275","4.494382","0","4.761905"
"9","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;NA;","2.097902","0","0","1.694915","0","0.943396","2.272727","0","1.851852","0.970874","0","1","1.714286","1.25","2.898551","1.123595","1.851852","3.174603"
"10","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;NA;","2.097902","1.041667","0","0","0.862069","0","2.272727","1.219512","0.925926","0","0","1","0.571429","0","0","0","0","0"
"11","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;","1.398601","2.083333","1.219512","3.389831","0.862069","0.943396","4.545455","3.658536","0.925926","0","1.020408","4","2.857143","0","1.449275","2.247191","0","1.587302"
"12","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;NA;","1.398601","0","0","0.847458","0.862069","0","1.136364","1.219512","3.703704","1.941748","0","0","1.142857","1.25","0","1.123595","1.851852","3.174603"
"13","Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;NA;","1.398601","3.125","0","0.847458","0.862069","3.773585","0","0","1.851852","0","0","2","1.142857","0","1.449275","0","0","0"
"14","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;NA;","1.398601","2.083333","2.439024","1.694915","0.862069","0","1.136364","0","0.925926","0","1.020408","1","1.142857","0","0","0","0","0"
"15","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;","0.699301","0","0","0.847458","0","0.943396","0","0","0","0.970874","0","0","1.142857","0","0","1.123595","0","0"
"16","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NA;","0.699301","0","0","0.847458","0","0","0","1.219512","1.851852","0","1.020408","0","0.571429","2.5","0","0","0","0"
"19","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;NA;","0.699301","1.041667","0","0","0","0","0","0","0","0.970874","0","0","0","0","0","0","0","1.587302"
"22","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;NA;","0.699301","1.041667","0","0.847458","0","0","0","1.219512","0","0","1.020408","1","0.571429","0","0","1.123595","0","0"
"23","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;NA;","0.699301","0","2.439024","0","0.862069","0","0","0","0.925926","0","0","0","0","0","1.449275","0","0","0"
"24","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;NA;","0.699301","0","0","0","0","0","0","0","0","1.941748","0","0","0","1.25","0","0","3.703704","0"
"25","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halolactibacillus;NA;","0.699301","0","0","0.847458","0.862069","0","0","0","0","0","0","0","0.571429","0","0","0","0","0"
"26","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Fabibacter;NA;","0.699301","1.041667","1.219512","0.847458","0","0","0","0","0","0","1.020408","0","0","0","0","0","0","0"
"27","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;NA;","0.699301","1.041667","0","0","0","0","0","1.219512","0","0.970874","0","1","0","0","0","0","0","1.587302"
"29","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;NA;","0.699301","0","1.219512","0","0","0","0","0","0.925926","0","1.020408","1","0","0","0","0","0","0"
"32","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Anaerocolumna;NA;","0.699301","0","0","0.847458","0","0","1.136364","1.219512","0","0","0","0","0","0","0","0","0","0"
"34","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaeromassilibacillus;NA;","0.699301","1.041667","0","0.847458","0.862069","0","1.136364","0","0","0","0","0","0.571429","0","0","0","0","0"
"37","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;NA;","0.699301","0","0","1.694915","0","0","0","0","0","0","0","0","0.571429","1.25","0","0","0","0"
"41","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;","0","2.083333","2.439024","2.542373","1.724138","0","1.136364","3.658536","1.851852","0.970874","1.020408","1","1.142857","3.75","1.449275","1.123595","1.851852","0"
