"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37"
"1","Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;","48.226948","59.43396","67.5","54.609932","60.583942","70.588234","57.291668","54.205608","54.198475","0","0","0","0","0","0","0","0"
"2","Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;","7.092199","5.660378","5","12.056737","7.29927","1.960784","10.416666","11.214952","6.870229","0","0","0","0","0","0","0","0"
"3","Bacteria;Verrucomicrobia;Verrucomicrobiae;NA;NA;NA;NA;","4.255319","6.603774","0","5.673759","4.379562","1.960784","3.125","2.803738","0.763359","0","0","0","0","0","0","0","0"
"4","Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;","3.546099","0.943396","0.833333","0.70922","1.459854","1.960784","1.041667","0.934579","0","0","0","0","0","0","0","0","0"
"5","Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;","0.70922","0","0","0","0","0","0","0.934579","0.763359","0","0","0","0","0","0","0","0"
"6","Bacteria;Proteobacteria;Betaproteobacteria;NA;NA;NA;NA;","0.70922","0.943396","0.833333","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Bacteria;Verrucomicrobia;Opitutae;NA;NA;NA;NA;","0.70922","0","0.833333","0","0","0","1.041667","0","0","0","0","0","0","0","0","0","0"
"9","Bacteria;Bacteroidetes;Chitinophagia;NA;NA;NA;NA;","0.70922","0.943396","0.833333","2.12766","0.729927","0","1.041667","0","0.763359","0","0","0","0","0","0","0","0"
"13","Bacteria;Bacteroidetes;Flavobacteriia;NA;NA;NA;NA;","0","0.943396","1.666667","0.70922","0.729927","3.921569","0","2.803738","0.763359","0","0","0","0","0","0","0","0"
"14","Bacteria;Bacteroidetes;Sphingobacteriia;NA;NA;NA;NA;","0","0.943396","0","0.70922","0","1.960784","1.041667","0.934579","1.526718","0","0","0","0","0","0","0","0"
"15","Bacteria;Firmicutes;Erysipelotrichia;NA;NA;NA;NA;","0","0.943396","0","0","0","0","0","8.411215","3.053435","0","0","0","0","0","0","0","0"
"16","Bacteria;Proteobacteria;Deltaproteobacteria;NA;NA;NA;NA;","0","0","1.666667","0.70922","0","0","0","0","0.763359","0","0","0","0","0","0","0","0"
"17","Bacteria;Bacteroidetes;Cytophagia;NA;NA;NA;NA;","0","0","1.666667","0","0","0","0","0","0.763359","0","0","0","0","0","0","0","0"
"14.1","Unclassified","34.042555","22.641512","19.166667","22.695032","24.817518","17.647061","24.999998","17.757012","29.770989","100","100","100","100","100","100","100","100"
