"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;","47.517731","58.49057","66.666672","54.609932","58.394157","70.588234","56.25","54.205608","53.435116","73.4375","69.747902","51.968502","61.452515","49.425285","73.75","70.212761","65","72.727272"
"2","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;NA;","7.092199","5.660378","5","12.056737","7.29927","1.960784","10.416666","11.214952","6.870229","7.8125","2.521008","5.511811","6.145252","10.344828","6.25","4.255319","5","20.779221"
"3","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;NA;NA;NA;","4.255319","6.603774","0","5.673759","4.379562","1.960784","3.125","2.803738","0.763359","0","2.521008","2.362205","1.117318","3.448276","5","4.255319","5","0"
"4","Bacteria;Firmicutes;Bacilli;Bacillales;NA;NA;NA;","3.546099","0.943396","0.833333","0.70922","0.729927","1.960784","0","0","0","0.78125","0.840336","3.149606","1.675978","1.149425","0","0","0","0"
"5","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;NA;NA;NA;","0.70922","0.943396","0.833333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;NA;NA;NA;","0.70922","0","0","0","0","0","0","0.934579","0.763359","0","0","0","0","0","0","0","0","0"
"9","Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;NA;NA;NA;","0.70922","0.943396","0.833333","2.12766","0.729927","0","1.041667","0","0.763359","0.78125","0.840336","0","1.117318","0","0","2.12766","1","0"
"10","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;NA;NA;NA;","0.70922","0.943396","0.833333","0","1.459854","0","1.041667","0","0.763359","0","0.840336","1.574803","1.117318","2.298851","1.25","0","0","0"
"14","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NA;NA;NA;","0","0.943396","1.666667","0.70922","0.729927","3.921569","0","2.803738","0.763359","1.5625","0","3.937008","1.117318","2.298851","2.5","0","1","1.298701"
"15","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;NA;NA;","0","0.943396","0","0.70922","0","1.960784","1.041667","0.934579","1.526718","0","0","0.787402","0","2.298851","0","0","0","0"
"16","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;NA;NA;NA;","0","0.943396","0","0","0","0","0","8.411215","3.053435","1.5625","0","0","0","1.149425","0","0","6","1.298701"
"17","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;NA;NA;NA;","0","0","1.666667","0.70922","0","0","0","0","0.763359","0","0","0.787402","0.558659","1.149425","0","0","0","0"
"18","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA;NA;NA;","0","0","1.666667","0","0","0","0","0","0.763359","0.78125","0.840336","0","0.558659","1.149425","1.25","1.06383","1","0"
"19","Bacteria;Firmicutes;Bacilli;Lactobacillales;NA;NA;NA;","0","0","0","0","0.729927","0","1.041667","0.934579","0","0","0","0","0","0","0","1.06383","0","0"
"15.1","Unclassified","34.751772","22.641506","19.999995","22.695032","25.547449","17.647061","26.041666","17.757012","29.770989","13.28125","21.848738","29.921261","25.139665","25.287358","10","17.021281","16","3.89610500000001"
