"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"32","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Neglecta;Neglecta timonensis;","0.892857","0","0","0","0","1.818182","0","0","0","0","1.075269","0","0.729927","0","0","0","0","0"
"33","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides congonensis;","0.892857","0","0","0","0","1.818182","0","0","0","0","0","0","0","0","0","2.857143","0","0"
"34","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. 43_108;","0.892857","0","1.538462","3.061224","1.282051","1.818182","2.083333","5.128205","1.538462","0","0","0","0.729927","0","0","0","0","0"
"35","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium;","0.892857","0","0","0","1.282051","0","6.25","0","1.538462","2.912621","1.075269","2.564103","0.729927","0","0","0","0","0"
"36","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;Paenibacillus sp. FSL H8-0548;","0.892857","0","0","0","0","0","0","0","0","0.970874","1.075269","0","0.729927","0","0","2.857143","0","0"
"37","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaeromassilibacillus;Anaeromassilibacillus sp. An200;","0.892857","1.587302","0","0","0","1.818182","0","2.564103","0","0.970874","0","0","0","1.639344","0","0","0","0"
"40","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes sp. Z76;","0.892857","1.587302","0","1.020408","1.282051","1.818182","0","0","0","0","1.075269","1.282051","1.459854","1.639344","0","2.857143","0","0"
"41","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acutalibacter;Acutalibacter sp. 1XD8-33;","0.892857","0","0","1.020408","0","0","2.083333","0","0","0","0","1.282051","0","0","0","0","0","0"
"46","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. MGM1;","0","3.174603","0","1.020408","0","1.818182","0","0","0","0","2.150538","2.564103","0","1.639344","0","0","0","0"
"47","Bacteria;NA;NA;NA;NA;NA;bacterium 0.1xD8-71;","0","3.174603","0","1.020408","0","0","0","0","0","0","2.150538","1.282051","0.729927","0","0","0","0","0"
"50","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;uncultured Clostridium sp.;","0","1.587302","1.538462","1.020408","0","0","0","0","0","1.941748","0","0","0","1.639344","0","0","0","0"
"52","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides paurosaccharolyticus;","0","1.587302","1.538462","1.020408","1.282051","0","2.083333","0","1.538462","0","0","2.564103","2.189781","6.557377","4.166667","0","4.761905","0"
