"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii;","2.12766","2.830189","4.166667","1.41844","1.459854","0","0","5.607476","2.290076","4.6875","5.042017","1.574803","1.675978","1.149425","0","5.319149","3","1.298701"
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides congonensis;","2.12766","0","1.666667","2.836879","1.459854","2.941176","3.125","0","0.763359","2.34375","0.840336","1.574803","0.558659","1.149425","0","3.191489","1","0"
"4","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis;","1.41844","0","0","0.70922","0","0","1.041667","0.934579","0.763359","0.78125","0","0","0.558659","0","1.25","1.06383","0","0"
"5","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila;","1.41844","1.886792","0","2.12766","2.919708","0","1.041667","0.934579","0","0","0","0.787402","0","1.149425","2.5","1.06383","2","0"
"6","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella rava;","1.41844","0.943396","0.833333","0","0","0","0","0","0.763359","0","0.840336","0","0.558659","0","0","0","1","0"
"9","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. MGM2;","1.41844","1.886792","0.833333","0","0","0","0","0","0","0.78125","0.840336","0.787402","0.558659","0","0","0","0","0"
"10","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes sp. Z76;","1.41844","3.773585","0","1.41844","1.459854","1.960784","1.041667","0","0.763359","0","2.521008","1.574803","1.117318","2.298851","0","3.191489","2","0"
"11","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter;Odoribacter sp. Z80;","1.41844","1.886792","0","0","0","0","0","0","1.526718","0.78125","0.840336","0","1.675978","2.298851","2.5","1.06383","2","2.597403"
"12","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes communis;","1.41844","0.943396","0","0","1.459854","1.960784","1.041667","0.934579","1.526718","0","0","1.574803","0.558659","0","0","1.06383","0","1.298701"
"13","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron;","0.70922","0.943396","0.833333","0","0","0","2.083333","1.869159","0","3.90625","0","1.574803","0","1.149425","0","0","0","0"
"14","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis;","0.70922","2.830189","0.833333","0","1.459854","1.960784","2.083333","0","0.763359","0.78125","1.680672","1.574803","1.117318","1.149425","1.25","0","1","1.298701"
"15","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides heparinolyticus;","0.70922","0","0","0","0.729927","0","1.041667","0","0.763359","1.5625","0.840336","0.787402","0","0","0","0","1","0"
"16","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris;","0.70922","0","0","0","0","0","0","0","0","0","0","0","0.558659","0","0","0","0","1.298701"
"17","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides acidifaciens;","0.70922","0.943396","0.833333","0.70922","1.459854","0.980392","1.041667","1.869159","2.290076","0","2.521008","0.787402","0.558659","0","0","0","1","0"
"18","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. AR29;","0.70922","0","0.833333","0","0.729927","0","1.041667","0","0.763359","0","0","0","0","0","0","0","0","0"
"19","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides pyogenes;","0.70922","0.943396","0","0.70922","0","0","0","0.934579","1.526718","0.78125","0.840336","0.787402","0.558659","0","1.25","0","1","0"
"20","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;Massilia albidiflava;","0.70922","0.943396","0.833333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides barnesiae;","0.70922","0","0","0.70922","0","0","0","0","0.763359","0.78125","1.680672","0","0","0","1.25","1.06383","0","0"
"22","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium A4;","0.70922","0","0","0.70922","0.729927","0","0","0","0","0.78125","0","0.787402","0","0","1.25","0","0","0"
"23","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;Oceanobacillus oncorhynchi;","0.70922","0.943396","0.833333","0","0","0","0","0","0","0","0","0.787402","1.117318","0","0","0","0","0"
"24","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. CAG:755;","0.70922","0","0","0","0","0","0","0","0.763359","0","0.840336","0","0","0","0","0","0","0"
"25","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. CAG:873;","0.70922","1.886792","0","0","0","0.980392","0","0","0","0.78125","0.840336","0.787402","0","0","0","0","1","0"
"26","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. KNHs205;","0.70922","0.943396","0","1.41844","1.459854","0","1.041667","0","1.526718","0.78125","0.840336","0","0","0","0","0","1","1.298701"
"28","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae;Labilibaculum;Labilibaculum antarcticum;","0.70922","0","0","0","0","0","0","0","0","0","0.840336","0","0.558659","0","0","0","0","0"
"29","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides massiliensis;","0.70922","0","0","0","0","0","0","0","0","0","0","0","0.558659","0","0","1.06383","0","1.298701"
"30","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecimuris;","0.70922","0.943396","0.833333","0.70922","0.729927","0.980392","0","0.934579","0","0.78125","0.840336","0.787402","0","1.149425","0","1.06383","1","1.298701"
"34","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella sp.;","0.70922","0.943396","0","0","0","0","0","0","0","0","0.840336","0","0.558659","0","0","0","1","0"
"35","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium 52_15;","0.70922","0","0","0","0","0","0","0.934579","0","0","0","0.787402","0.558659","0","0","0","0","0"
"36","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium;","0.70922","0","0","2.12766","0.729927","0","1.041667","0","0","0.78125","0","0","0","0","0","0","0","0"
"37","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Saccharibacillus;Saccharibacillus sp. O16;","0.70922","0","0","0","0.729927","0","0","0","0","0","0.840336","0","0","0","0","0","0","0"
"38","Bacteria;Acidobacteria;NA;NA;NA;NA;Acidobacteria bacterium;","0.70922","0","0","0","0","0","1.041667","0","0","0","0.840336","1.574803","1.675978","0","0","0","0","0"
"39","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;Rikenellaceae bacterium;","0.70922","0","0.833333","0","0","0","0","0","0.763359","0.78125","0.840336","0.787402","1.117318","0","1.25","0","4","0"
"40","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. OF04-15BH;","0.70922","0","0","0","0","0","0","0","0.763359","0.78125","0","0.787402","0.558659","0","0","0","1","1.298701"
"41","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. AM44-19;","0.70922","0.943396","0","0","0.729927","0.980392","0","0.934579","0","0","0.840336","0","0","1.149425","0","0","0","0"
"42","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;Dysgonomonas;Dysgonomonas sp. 511;","0.70922","0","0","0","0.729927","0","0","0","0","0","0","0","0.558659","0","0","0","0","0"
"43","Bacteria;NA;NA;NA;NA;NA;bacterium 1xD42-87;","0.70922","0","0","0","0","0","0","0","0","0","0.840336","0","0.558659","0","1.25","0","0","0"
"44","Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Ilyomonas;Ilyomonas limi;","0.70922","0","0","0.70922","0","0","0","0","0","0","0.840336","0","0.558659","0","0","1.06383","0","0"
"48","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;Bacteroidaceae bacterium;","0","3.773585","0","0","0","0","0","0","0","0","0","0","0.558659","3.448276","0","0","0","1.298701"
"49","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides graminisolvens;","0","1.886792","1.666667","0","0.729927","0.980392","1.041667","0","0","0","0","1.574803","0","2.298851","2.5","0","0","0"
"50","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fluxus;","0","1.886792","0.833333","1.41844","1.459854","1.960784","3.125","0","0.763359","1.5625","2.521008","0.787402","0.558659","2.298851","2.5","2.12766","0","0"
"52","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides merdae;","0","0.943396","0","0.70922","0.729927","0","0","0","0.763359","0","0","0","0.558659","1.149425","0","2.12766","1","0"
"54","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens;","0","0.943396","0","0","0","0","1.041667","0","0","0.78125","0","0","0","0","0","0","0","0"
"55","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Leeuwenhoekiella;Leeuwenhoekiella aequorea;","0","0.943396","0.833333","0","0.729927","0.980392","0","0","0","0","0","0.787402","0","0","1.25","0","0","0"
"56","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;[Clostridium] saccharogumia;","0","0.943396","0","0","0","0","0","2.803738","0","0","0","0","0","0","0","0","2","0"
"57","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides dorei;","0","0.943396","0.833333","0","0.729927","0.980392","0","0.934579","0.763359","0.78125","0.840336","0.787402","0.558659","0","1.25","0","1","0"
"59","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella nanceiensis;","0","0.943396","0","0.70922","1.459854","0","0","0","0","0","0","0.787402","0","0","0","0","0","0"
"60","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes indistinctus;","0","0.943396","1.666667","0","0.729927","0","0","2.803738","0.763359","0.78125","0.840336","0","0","0","0","1.06383","0","3.896104"
"61","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes sp. CAG:514;","0","0.943396","0","0","0","0.980392","0","0","0","0","0","0.787402","0","0","0","0","0","0"
"64","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes senegalensis;","0","0.943396","0","0","0","0.980392","1.041667","0","0","0","0","0","0.558659","0","0","1.06383","0","6.493506"
"65","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium CHKCI001;","0","0.943396","0.833333","0.70922","0","0","0","0.934579","0","0","0","0","0","1.149425","0","0","0","0"
"66","Bacteria;Bacteroidetes;NA;NA;NA;NA;Bacteroidetes bacterium;","0","0.943396","0","0","0.729927","0","0","0","1.526718","0","0.840336","0","0","1.149425","0","0","1","0"
"67","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Mediterranea;Mediterranea sp. An20;","0","0.943396","0","0.70922","0","0","0","0","0.763359","0","0","0","0","1.149425","0","0","0","0"
"69","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;NA;NA;Marinilabiliales bacterium;","0","0.943396","0.833333","0","0.729927","0","1.041667","0","0","0","0","0.787402","0","2.298851","1.25","0","0","0"
"71","Bacteria;NA;NA;NA;NA;NA;bacterium 0.1xD8-71;","0","0.943396","0.833333","0.70922","0","0","0","0","0","0","0.840336","0.787402","1.117318","0","0","0","0","0"
"72","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. NM69_E16B;","0","0.943396","0","0.70922","0.729927","0","2.083333","0.934579","0","0.78125","0.840336","0.787402","0","1.149425","1.25","0","0","0"
"73","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;","0","0","4.166667","3.546099","0","0.980392","8.333334","3.738318","0","0","0","0","0","0","6.25","3.191489","0","2.597403"
"74","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. CAG:891;","0","0","3.333333","0","0.729927","1.960784","0","0","0","0.78125","0.840336","0.787402","0.558659","0","0","0","0","0"
"75","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:754;","0","0","1.666667","0","0.729927","0.980392","1.041667","0","0.763359","0","0.840336","0.787402","0.558659","0","0","0","0","0"
"76","Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae;Corallococcus;Corallococcus sp. CAG:1435;","0","0","1.666667","0.70922","0","0","0","0","0.763359","0","0","0.787402","0.558659","1.149425","0","0","0","0"
"77","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter;Paludibacter sp. 47-17;","0","0","1.666667","2.12766","0.729927","0.980392","1.041667","0.934579","0","1.5625","0","0","0.558659","1.149425","1.25","1.06383","0","1.298701"
"78","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium;","0","0","1.666667","3.546099","0.729927","0","2.083333","1.869159","0.763359","1.5625","0.840336","1.574803","0.558659","2.298851","0","0","0","0"
