"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;","16.666668","18.032785","23.333334","27.5","28.333334","30.434782","23.076923","30.769232","28.57143","25.641027","27.419355","14.285715","15.555556","20","21.428572","51.219513","52.63158","40.909092"
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;","9.523809","8.196721","11.666667","7.5","5","10.869565","20.512821","15.384616","9.523809","5.128205","11.290322","10.714286","5.185185","8","11.904762","9.756097","5.263158","4.545455"
"3","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;","5.952381","6.557377","0","2.5","3.333333","0","0","0","0","0","0","1.785714","1.481481","0","0","2.439024","0","0"
"4","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;","4.761905","3.278688","3.333333","1.25","3.333333","0","5.128205","3.846154","0","6.410257","4.838709","8.928572","6.666667","2","0","2.439024","5.263158","9.090909"
"5","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;","3.571429","9.836065","6.666667","7.5","5","10.869565","0","3.846154","0","5.128205","6.451612","7.142858","1.481481","8","7.142858","4.878048","0","13.636364"
"6","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;","1.190476","1.639344","3.333333","1.25","3.333333","2.173913","7.692308","15.384616","7.142858","3.846154","1.612903","1.785714","2.962963","2","2.380952","2.439024","0","18.181818"
"8","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;NA;NA;","1.190476","0","1.666667","0","0","2.173913","0","0","0","2.564103","0","0","0","2","0","0","0","0"
"12","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;","0","3.278688","3.333333","0","0","0","0","0","0","1.282051","0","0","0","0","0","0","0","0"
"13","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA;NA;","0","1.639344","1.666667","1.25","1.666667","0","0","0","0","0","4.838709","0","0.740741","0","0","0","0","0"
"14","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;NA;","0","0","1.666667","2.5","1.666667","2.173913","2.564103","0","2.380952","0","1.612903","1.785714","0.740741","0","4.761905","4.878048","0","4.545455"
"15","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae;NA;NA;","0","0","1.666667","0","0","0","0","3.846154","2.380952","0","0","0","0.740741","2","2.380952","0","5.263158","0"
"12.1","Unclassified","57.142856","47.540988","41.666665","48.75","48.333333","41.304349","41.02564","26.923074","49.999999","49.999998","41.935487","53.571427","64.444444","56","49.999999","21.951222","31.578946","9.090907"
