"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;","13.286713","12.5","21.95122","16.101696","18.965517","15.094339","17.045454","25.609756","12.962963","23.300972","23.469389","17","17.714287","16.25","24.637682","20.224718","16.666668","26.984129"
"2","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;","11.188811","11.458334","9.756097","16.101696","10.344828","7.54717","11.363637","8.536586","13.888889","10.679611","7.142858","10","10.857142","10","13.043478","4.494382","7.407407","15.873016"
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;NA;","6.993007","9.375","8.536586","6.779661","10.344828","1.886792","1.136364","12.195122","9.259259","12.62136","11.224489","5","6.857142","6.25","4.347826","11.235955","12.962963","11.111112"
"4","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;NA;","6.293706","10.416666","3.658536","4.237288","9.482759","9.433963","5.681818","2.439024","6.481482","3.883495","7.142858","11","6.285714","6.25","10.144927","11.235955","5.555556","6.349207"
"5","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;","5.594406","0","3.658536","1.694915","0","7.54717","4.545455","4.878048","3.703704","5.825243","2.040816","3","6.857142","10","8.695652","7.865169","9.259259","4.761905"
"6","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;","5.594406","7.291667","7.317073","8.474577","6.034482","6.603774","11.363637","6.097561","5.555556","3.883495","6.122449","11","8.571429","6.25","5.797101","4.494382","12.962963","3.174603"
"7","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;","4.195804","0","0","1.694915","2.586207","0","0","0","0","0.970874","1.020408","0","1.142857","1.25","0","0","0","0"
"8","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;","3.496503","6.25","8.536586","0.847458","5.172414","4.716981","1.136364","2.439024","5.555556","4.854369","4.081633","3","2.857143","3.75","1.449275","1.123595","3.703704","1.587302"
"9","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;","3.496503","0","1.219512","0","0.862069","2.830189","2.272727","1.219512","0","0.970874","1.020408","2","1.142857","2.5","1.449275","1.123595","0","0"
"10","Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;NA;","1.398601","0","0","1.694915","0.862069","0","1.136364","2.439024","1.851852","0.970874","1.020408","0","1.142857","3.75","0","0","0","0"
"11","Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;NA;NA;","1.398601","3.125","0","0.847458","0.862069","3.773585","0","0","1.851852","0","0","2","1.142857","0","1.449275","0","0","0"
"12","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;NA;NA;","1.398601","0","2.439024","0.847458","2.586207","0","1.136364","1.219512","3.703704","2.912621","1.020408","0","1.714286","1.25","0","1.123595","3.703704","3.174603"
"13","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;","1.398601","3.125","3.658536","0.847458","1.724138","0","2.272727","1.219512","0.925926","2.912621","3.061224","1","0.571429","1.25","5.797101","2.247191","1.851852","1.587302"
"15","Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;NA;NA;","0.699301","0","1.219512","0","0.862069","0","0","0","0","0","0","1","0.571429","0","0","0","0","0"
"16","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;NA;NA;","0.699301","1.041667","1.219512","0.847458","0","0.943396","0","0","0","0","1.020408","0","0","0","0","0","0","0"
"17","Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;NA;NA;","0.699301","1.041667","0","0","0","0","0","0","0","0.970874","0","0","0","0","0","0","0","1.587302"
"20","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;NA;NA;","0.699301","1.041667","0","0.847458","0","0","0","1.219512","0","0","1.020408","1","0.571429","0","0","1.123595","0","0"
"22","Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae;NA;NA;","0.699301","0","0","0","0","0.943396","0","0","0","0","0","0","0","0","1.449275","0","0","0"
"27","Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;NA;NA;","0","1.041667","0","0","0.862069","0","0","0","0","0.970874","0","0","0","0","0","1.123595","0","0"
"28","Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;Eggerthellaceae;NA;NA;","0","1.041667","0","0","0","0.943396","1.136364","0","0","0","1.020408","0","0","0","0","0","0","0"
"30","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;NA;NA;","0","0","2.439024","0.847458","0","0.943396","0","1.219512","0","0","0","0","0","0","0","0","0","0"
"31","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;NA;","0","0","1.219512","0.847458","1.724138","0","1.136364","0","0","0","0","1","0","1.25","0","0","3.703704","0"
"32","Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;NA;NA;","0","0","1.219512","0","0","0","0","0","0.925926","0","0","0","0","2.5","4.347826","0","0","0"
"33","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;NA;NA;","0","0","1.219512","0","0","0","0","0","0","0","0","0","0.571429","0","0","2.247191","1.851852","1.587302"
"35","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;NA;NA;","0","0","0","0.847458","0.862069","0","0","0","0","0","0","0","0.571429","0","0","0","0","0"
"26","Unclassified","30.769232","31.249998","20.73171","35.593215","25.862068","36.792453","38.636361","29.268295","33.333331","24.271843","28.571428","32","30.857142","27.5","17.391307","30.337082","20.370368","22.222217"
