"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;NA;NA;NA;NA;NA;bacterium 0.1xD8-71;","4.918033","0","3.448276","2.325581","0","2.857143","0","0","0","0","10.526316","2.222222","7.777778","0","0","0","0","0"
"3","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium MD335;","3.278688","0","0","0","5.405406","2.857143","0","0","0","0","0","2.222222","0","0","0","0","0","0"
"4","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella ruminicola;","1.639344","0","0","0","0","0","0","0","0","0","2.631579","0","0","4.347826","0","0","0","0"
"5","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter heparinus;","1.639344","0","0","2.325581","2.702703","0","0","0","5.263158","0","2.631579","0","0","4.347826","4.545455","0","6.25","0"
"6","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;uncultured Clostridium sp.;","1.639344","0","0","2.325581","0","0","0","6.25","0","0","0","2.222222","0","0","0","4","6.25","0"
"12","Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium sp. SUTN9-2;","1.639344","0","3.448276","2.325581","0","0","0","0","5.263158","0","0","0","1.111111","0","0","0","0","0"
"14","Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:534;","1.639344","2","3.448276","0","0","0","0","0","0","3.333333","0","0","0","4.347826","0","4","6.25","0"
"15","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides timonensis;","1.639344","0","0","0","0","0","0","0","5.263158","0","0","0","1.111111","0","0","0","0","0"
"17","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium;","1.639344","2","3.448276","4.651163","0","0","0","0","5.263158","3.333333","0","2.222222","1.111111","4.347826","4.545455","4","12.5","0"
"18","Bacteria;NA;NA;NA;NA;NA;bacterium 1xD42-62;","1.639344","2","0","0","0","0","0","12.5","0","3.333333","0","0","1.111111","4.347826","9.090909","0","0","0"
"23","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron;","0","2","3.448276","0","0","2.857143","0","6.25","0","0","2.631579","0","1.111111","4.347826","0","0","0","0"
"25","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila;","0","2","0","0","0","0","0","6.25","0","0","2.631579","2.222222","1.111111","0","0","4","6.25","0"
"30","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. P5-64;","0","2","0","0","0","0","0","0","0","3.333333","0","0","0","4.347826","4.545455","4","0","0"
"34","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri;","0","0","3.448276","2.325581","0","0","0","0","5.263158","3.333333","0","0","0","0","0","0","0","0"
"36","Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;NA;Geobacteraceae bacterium GWC2_53_11;","0","0","3.448276","2.325581","0","0","0","6.25","0","0","0","2.222222","0","4.347826","0","0","0","0"
"37","Bacteria;NA;NA;NA;NA;NA;bacterium 1xD42-87;","0","0","3.448276","0","0","2.857143","0","0","0","0","7.894736","2.222222","1.111111","0","0","0","0","0"
"38","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Flavobacterium sp. ZT3R18;","0","0","3.448276","2.325581","2.702703","0","0","0","0","0","0","0","0","0","0","4","0","0"
"40","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium AC3007;","0","0","0","2.325581","0","0","0","0","0","0","0","2.222222","0","0","4.545455","0","0","0"
"42","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;Clostridiaceae bacterium;","0","0","0","2.325581","2.702703","2.857143","12.5","0","0","0","0","2.222222","0","0","0","4","0","0"
"48","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;NA;Comamonadaceae bacterium;","0","0","0","0","0","0","12.5","0","5.263158","0","0","0","1.111111","0","0","0","0","0"
"50","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter secundus;","0","0","0","0","0","0","0","0","5.263158","3.333333","0","0","1.111111","0","4.545455","4","0","0"
"22","Unclassified","78.688527","88","68.965516","74.418608","86.486485","85.714285","75","62.5","63.157894","80.000002","71.052632","80.000002","82.222223","65.217392","68.181816","68","62.5","100"
