"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium;","4.255319","2.415459","2.890173","3.004292","2.752294","3.539823","2.542373","2.830189","4.761905","3.468208","3.225806","2.487562","1.453488","1.807229","1.626016","2.083333","0","0"
"2","Bacteria;NA;NA;NA;NA;NA;bacterium 1xD42-87;","1.702128","0.483092","0.578035","0.858369","1.376147","1.769912","2.542373","0","2.380952","0.578035","1.612903","1.99005","1.162791","1.204819","0","0","0","0"
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes sp. Z76;","1.276596","0.966184","1.734104","0.429185","0.458716","0.884956","1.694915","0","0.793651","0","2.688172","0","0","0","0.813008","1.041667","0","0"
"4","Bacteria;NA;NA;NA;NA;NA;bacterium D16-50;","1.276596","0","1.156069","0.429185","0.458716","2.654867","0","0","0","0","0.537634","0.995025","0.290698","0","0","0","0","0"
"5","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis;","0.851064","2.898551","0.578035","1.287554","0","2.654867","1.694915","0.943396","1.587302","1.156069","1.075269","1.492537","1.162791","1.807229","0.813008","0","0","0"
"6","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia intestinalis;","0.851064","0.483092","0.578035","0","0","0","0","0","0","0","0","0","0.290698","0","0","0","0","0"
"7","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella;Robinsoniella peoriensis;","0.851064","0","0","0","0","0","0","0","0","0","0.537634","0.497512","0","0.60241","0","0","0","10.126582"
"9","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii;","0.851064","0.483092","0.578035","0.429185","0","0","0","0.943396","0","1.156069","1.075269","0.497512","0","0","0","0","0","2.531646"
"10","Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;Mycoplasma sp. CAG:776;","0.851064","0","0","0","0","0","0","0","0","0","0","0.497512","0.581395","0","0","0","0","0"
"11","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. MGM1;","0.851064","1.932367","0.578035","0.429185","0","0","0","0.943396","0","1.156069","0","0.497512","0.290698","0","0","0","0","1.265823"
"12","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;Eisenbergiella sp. OF01-20;","0.851064","0","0.578035","0.429185","0.458716","0","0","0","0","0.578035","1.075269","0.497512","0.290698","0","0","0","0","0"
"13","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acutalibacter;Acutalibacter sp. 1XD8-33;","0.851064","0","0","0","0.458716","0","0","0","0","0","0","0.497512","0.290698","0","0","0","0","0"
"14","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-110 (HZI);","0.851064","1.932367","0.578035","2.575107","1.376147","1.769912","2.542373","1.886792","1.587302","1.156069","1.612903","0.497512","1.744186","1.807229","4.878048","2.083333","3.174603","0"
"15","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium COT073_COT-073;","0.851064","0.483092","1.156069","0.429185","0.917431","1.769912","0.847458","0.943396","0","0","0.537634","0.497512","0.290698","0.60241","0.813008","1.041667","1.587302","0"
"16","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium;","0.851064","0.966184","0.578035","1.287554","1.834862","2.654867","0","0","3.174603","0","0.537634","0.497512","0.581395","0.60241","2.439024","5.208333","0","0"
"17","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella sp. WM24;","0.851064","1.449275","1.156069","1.287554","1.376147","0","1.694915","0","1.587302","0.578035","1.612903","0","0.581395","0.60241","0.813008","3.125","0","0"
"18","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium cellulovorans;","0.425532","0","0","0","0","0.884956","0","0","0","0","0","0.995025","0","0","0","0","0","0"
"20","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster clostridioformis;","0.425532","0","0","0","0.458716","0","0","0.943396","0","0","0","0","0","0","0","0","0","0"
"22","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;uncultured Clostridium sp.;","0.425532","0","0.578035","0","0.458716","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","Bacteria;Firmicutes;Clostridia;Clostridiales;Heliobacteriaceae;Heliobacterium;Heliobacterium undosum;","0.425532","0","0","0","0","0","0","0","0","0.578035","0.537634","0","1.162791","0","0","0","0","0"
"28","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia schinkii;","0.425532","0.966184","2.890173","1.287554","0","0","1.694915","0.943396","0","0","0.537634","0.497512","0","0","0.813008","1.041667","3.174603","2.531646"
"30","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila;","0.425532","0","0","0.429185","0.458716","0","0","0.943396","0","0","0","0","0","0","0","0","1.587302","0"
"32","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium A2;","0.425532","0","0","0","0","0","0","0","0","0","0","0.497512","0.290698","0","0","0","1.587302","0"
"33","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium A4;","0.425532","0","0","0.429185","0.458716","0.884956","0","0.943396","0.793651","0.578035","0.537634","1.492537","0.290698","0.60241","0","1.041667","0","0"
"34","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Rubritalea;Rubritalea squalenifaciens;","0.425532","0.483092","0","0","0.458716","0","0","0.943396","0","1.156069","0.537634","0","0","0","0","0","1.587302","1.265823"
"38","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;Pedobacter ginsenosidimutans;","0.425532","0","0","0","0","0.884956","0","0","0.793651","0","0","0.497512","0","0","0","0","0","0"
"39","Bacteria;Verrucomicrobia;Spartobacteria;NA;NA;Terrimicrobium;Terrimicrobium sacchariphilum;","0.425532","0","0","0.429185","0","0","0","0","0","0.578035","0","0","0","0","0","0","0","0"
"41","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;Acetatifactor muris;","0.425532","0.966184","0.578035","0","0","0","0","0","0","0.578035","0","0.497512","0.290698","0","0.813008","0","0","0"
"42","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus champanellensis;","0.425532","0","0","0.429185","0","0","0","0","0","0","0.537634","0.497512","0","0","0","0","0","0"
"44","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:754;","0.425532","0","0","0.429185","0.458716","0","0","0.943396","0.793651","0.578035","0.537634","0","0","0","0","1.041667","0","1.265823"
"45","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. CAG:1013;","0.425532","0","0","0","0","0.884956","0","0","0","0","0","0","0.581395","0","0","0","0","0"
"48","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. CAG:1031;","0.425532","0","0.578035","0","0.458716","0","0.847458","0.943396","0.793651","1.156069","0.537634","0","0","1.807229","0.813008","0","0","0"
"49","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. CAG:1058;","0.425532","0.483092","0","0","0","0.884956","0","0","0.793651","0","0","0","0","0","0","0","0","0"
"51","Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:424;","0.425532","0.483092","1.156069","0","0","0","0","0","0","0.578035","0","0.497512","0","0","0","0","0","0"
"52","Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:449;","0.425532","0","0.578035","0.429185","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:534;","0.425532","1.932367","1.156069","0","0","0","0.847458","0.943396","0","0.578035","0.537634","0","0.290698","0","1.626016","1.041667","1.587302","0"
"57","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium V9D3004;","0.425532","0","0","0","0","0","0","0","0","1.156069","0","0","0.581395","0","0","0","0","0"
"58","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi;","0.425532","0.483092","0","0.429185","0","0","0","0","0","0","0","0","0","0","0.813008","0","0","0"
"60","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Herbinix;Herbinix hemicellulosilytica;","0.425532","0","0.578035","0","0","0.884956","0","0","0","0.578035","0.537634","0.497512","0.872093","1.807229","0","0","0","0"
"61","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia glycaniphila;","0.425532","0.483092","0.578035","0.429185","0","0","0","1.886792","0","0","0.537634","0","0","0","0","1.041667","0","0"
