"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;","10.714286","21.428572","30.769232","8.823529","16.129032","31.25","27.777779","47.368423","38.888889","26.31579","18.181818","3.846154","24.444445","4.761905","61.904762","11.111112","60.000004","35"
"2","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;NA;","10.714286","0","3.846154","2.941176","0","0","0","0","5.555556","2.631579","4.545455","0","2.222222","0","0","0","0","0"
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;","7.142858","10.714286","15.384616","5.882353","25.80645","6.25","5.555556","5.263158","5.555556","7.894736","9.090909","7.692308","6.666667","9.523809","0","11.111112","0","0"
"4","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;","7.142858","3.571429","3.846154","8.823529","0","0","0","0","0","0","0","3.846154","2.222222","0","0","0","0","10"
"5","Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;NA;","3.571429","0","3.846154","2.941176","0","12.5","5.555556","0","5.555556","0","0","3.846154","2.222222","4.761905","0","0","0","0"
"6","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;NA;","3.571429","0","0","2.941176","0","0","11.111112","0","5.555556","2.631579","4.545455","0","0","0","0","0","20","5"
"8","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;NA;","3.571429","0","0","0","3.225806","0","0","0","0","0","0","3.846154","0","4.761905","0","0","0","0"
"13","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;","0","3.571429","3.846154","5.882353","0","0","0","0","0","5.263158","4.545455","3.846154","6.666667","4.761905","4.761905","0","0","5"
"14","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;NA;","0","3.571429","0","0","0","0","0","0","0","5.263158","0","0","2.222222","0","0","0","0","0"
"16","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;NA;","0","3.571429","0","2.941176","0","0","0","0","0","0","4.545455","3.846154","2.222222","0","0","0","0","0"
"17","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA;","0","0","3.846154","0","3.225806","6.25","0","0","5.555556","2.631579","0","0","6.666667","0","4.761905","11.111112","0","20"
"18","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;NA;","0","0","0","5.882353","0","0","0","10.526316","0","2.631579","0","0","0","0","0","0","0","0"
"13.1","Unclassified","53.571425","53.571426","34.615382","52.941179","51.612906","43.75","49.999997","36.842103","33.333331","44.736842","54.545453","69.230768","44.444444","71.428571","28.571428","66.666664","19.999996","25"
