"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;","37.446808","25.603863","30.635838","34.334763","31.651375","25.663715","34.745762","35.849056","31.746033","34.682079","30.645163","34.328358","37.209301","34.939758","30.081303","27.083334","31.746033","46.835442"
"2","Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;","20.425531","37.198067","34.682079","33.476395","35.321102","40.707962","38.983051","38.679245","37.30159","43.3526","38.172043","23.383083","31.686047","34.939758","48.780487","48.958336","41.26984","43.037975"
"3","Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;","2.12766","2.415459","1.734104","3.004292","1.376147","1.769912","0","0.943396","3.968254","1.156069","1.075269","1.99005","1.744186","1.807229","2.439024","3.125","1.587302","1.265823"
"4","Bacteria;Verrucomicrobia;Verrucomicrobiae;NA;NA;NA;NA;","1.702128","1.932367","0.578035","1.716738","0.917431","0.884956","0","3.773585","0","1.156069","1.075269","0.497512","0","0","0","3.125","3.174603","1.265823"
"5","Bacteria;Bacteroidetes;Sphingobacteriia;NA;NA;NA;NA;","1.276596","0","0.578035","0.858369","0.458716","0.884956","0","0","1.587302","0.578035","1.075269","0.995025","0.290698","0.60241","0","0","0","0"
"6","Bacteria;Actinobacteria;Actinobacteria;NA;NA;NA;NA;","0.851064","1.449275","1.734104","1.716738","1.834862","1.769912","1.694915","3.773585","3.174603","0.578035","1.075269","0","0.290698","1.204819","2.439024","3.125","3.174603","1.265823"
"7","Bacteria;Tenericutes;Mollicutes;NA;NA;NA;NA;","0.851064","0","0","0","0","0","0","0","0","0","0","0.497512","1.162791","0","0","0","0","0"
"9","Bacteria;Bacteroidetes;Flavobacteriia;NA;NA;NA;NA;","0.425532","0.966184","1.156069","0.858369","1.376147","1.769912","1.694915","0","2.380952","1.156069","0.537634","1.492537","0.581395","1.204819","0.813008","2.083333","0","1.265823"
"10","Bacteria;Verrucomicrobia;Spartobacteria;NA;NA;NA;NA;","0.425532","0","0","0.429185","0","0","0","0","0","0.578035","0","0","0","0","0","0","0","0"
"11","Eukaryota;Ascomycota;Eurotiomycetes;NA;NA;NA;NA;","0.425532","0.483092","0","0","0.458716","0","0","0","1.587302","1.156069","0","0","0","0","0","0","0","0"
"13","Bacteria;Firmicutes;Erysipelotrichia;NA;NA;NA;NA;","0.425532","0","0","0.429185","0","0","0.847458","0.943396","1.587302","0","1.075269","0.497512","0.290698","1.204819","0","0","3.174603","0"
"17","Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;","0","0.483092","0","0","0","0","0","0.943396","0","0","0","0.497512","0","0","0","0","0","0"
"18","Bacteria;Chloroflexi;Anaerolineae;NA;NA;NA;NA;","0","0.483092","0","0","0.458716","0","0","0.943396","0.793651","0","0","0.497512","0.290698","0.60241","0","0","0","0"
"20","Eukaryota;Ascomycota;Dothideomycetes;NA;NA;NA;NA;","0","0","0","0.429185","0.458716","0.884956","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Bacteria;Bacteroidetes;Cytophagia;NA;NA;NA;NA;","0","0","0","0.429185","0","0","0","0","0","0","0","0.497512","0","0.60241","0","0","0","0"
"16","Unclassified","33.617021","28.985509","28.901736","22.317596","25.688072","25.663719","22.033899","14.150945","15.873011","15.60694","25.268815","34.825875","26.453488","22.891568","15.447154","12.499997","15.873016","5.06329099999999"
