"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium;","2.522936","1.244168","2.398524","1.958525","1.529052","0.576923","1.927711","2.216066","1.90678","1.393728","1.576182","3.045067","2.253521","2.103251","0.209205","1.055409","1.70068","0.97561"
"2","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;Pseudoflavonifractor sp. 60;","2.522936","0.933126","0.738007","1.497696","1.376147","3.846154","1.445783","1.108033","1.059322","0","0.525394","1.096224","1.784038","1.720841","1.046025","1.583114","0.680272","0"
"3","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;Pseudoflavonifractor capillosus;","1.261468","0.777605","0.922509","1.267281","0.30581","0.576923","0.722892","0.277008","0.423729","1.219512","0.525394","0.852619","1.032864","0.956023","0.627615","0.527704","2.040816","0"
"4","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Murimonas;Murimonas intestini;","1.261468","0.311042","0.184502","1.152074","0.152905","0.384615","1.927711","0.831025","0.635593","0.522648","0.700525","0.852619","0.657277","0.382409","0","0.263852","0.340136","0.97561"
"5","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium sp. An169;","1.261468","0.155521","0.553506","0.921659","0.611621","0.192308","0.481928","0.831025","0.211864","0.348432","1.050788","1.218027","0.751174","1.338432","0.209205","0","0.340136","0.487805"
"6","Bacteria;NA;NA;NA;NA;NA;bacterium D16-29;","1.03211","0.311042","0.738007","0.806452","0.458716","1.730769","0.722892","0.277008","0.211864","0","0.525394","0.730816","0.56338","0.382409","1.25523","1.583114","0.340136","0.487805"
"7","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens;","0.917431","1.088647","1.291513","1.267281","0.917431","0.769231","2.891566","1.385041","0.847458","1.567944","1.050788","0.487211","0.469484","0.191205","0.627615","0","2.040816","4.390244"
"8","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis;","0.688073","1.399689","1.107011","0.921659","1.681957","1.153846","0.963855","1.385041","0.635593","0.696864","1.926445","0.852619","1.032864","1.338432","1.67364","0","0","1.463415"
"9","Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:137_57_8;","0.688073","0.155521","0","0.230415","0.458716","0.384615","0.240964","0.277008","0.635593","0.174216","0","0.730816","0.28169","0.191205","0","0.263852","0.340136","0"
"10","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;uncultured Clostridiales bacterium;","0.573394","0.311042","0.738007","0.115207","0","0","0.722892","0.277008","0.635593","0.348432","0","0.121803","0.28169","0.191205","0.209205","0.527704","0.340136","0"
