"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;","4.680851","14.009662","13.294798","10.300429","12.385322","18.58407","18.644068","18.867926","6.349207","20.809248","10.752688","10.945274","15.697675","9.036144","21.95122","15.625","14.285715","18.987341"
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;","3.829787","6.280193","5.780347","3.862661","3.669725","4.424779","2.542373","1.886792","4.761905","4.624277","4.301075","1.99005","1.744186","7.831326","3.252032","2.083333","3.174603","2.531646"
"3","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;","3.404255","0.966184","1.156069","1.716738","0.917431","0.884956","0.847458","0.943396","0","0.578035","0.537634","2.487562","1.162791","1.807229","0.813008","0","3.174603","0"
"4","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;","2.978724","1.932367","3.468208","3.862661","2.752294","3.539823","3.389831","0.943396","2.380952","2.312139","2.688172","1.99005","3.488372","1.807229","6.504065","1.041667","1.587302","11.392405"
"5","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA;","2.553191","1.449275","0.578035","1.716738","0.917431","0.884956","1.694915","2.830189","3.968254","1.734104","2.688172","0.995025","0.872093","1.807229","0.813008","3.125","1.587302","6.329114"
"6","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;NA;","2.12766","0.966184","0","2.575107","1.376147","0","2.542373","3.773585","0.793651","1.734104","1.075269","1.492537","1.453488","1.204819","0","3.125","0","0"
"7","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;NA;","1.702128","1.449275","4.624277","3.004292","1.376147","0.884956","2.542373","3.773585","1.587302","1.734104","3.763441","0.995025","1.453488","1.204819","4.878048","1.041667","3.174603","2.531646"
"8","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;","1.276596","0","0.578035","1.716738","1.376147","0","0","0","0","0","2.688172","2.487562","1.162791","1.807229","0.813008","1.041667","0","0"
"9","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA;","1.276596","0.966184","2.890173","1.287554","0.917431","1.769912","3.389831","0.943396","2.380952","1.734104","4.301075","0.497512","0.581395","1.204819","1.626016","6.25","1.587302","6.329114"
"10","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;NA;","1.276596","1.449275","0.578035","1.716738","0.458716","0.884956","0","2.830189","0","0","0.537634","0.497512","0","0","0","3.125","1.587302","0"
