"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;","30.769232","32.142857","30.434782","47.058823","37.5","26.666668","0","0","0","36.842106","31.25","30.000002","20.833332","9.090909","25","0","14.285715","11.111112"
"2","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;","19.23077","7.142858","0","17.647058","0","13.333334","0","0","10","10.526316","12.5","10","12.5","0","5","28.57143","0","0"
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;","11.538462","32.142857","34.782608","17.647058","33.333336","26.666668","70","33.333336","20","26.31579","25","23.333334","16.666668","31.818182","45","42.857143","0","44.444447"
"5","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;","3.846154","3.571429","8.695652","5.882353","4.166667","0","0","6.666667","10","5.263158","0","0","0","9.090909","10","0","0","0"
"6","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;","3.846154","3.571429","0","5.882353","0","0","0","0","10","0","0","0","2.083333","0","5","0","0","0"
"7","Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;","3.846154","0","0","0","0","0","10","6.666667","0","0","0","0","0","4.545455","0","0","0","0"
"8","Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Dictyobacteraceae;NA;NA;","3.846154","0","0","0","8.333334","0","0","0","0","0","6.25","3.333333","2.083333","9.090909","0","0","0","0"
"12","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;","0","7.142858","4.347826","0","0","0","0","20","0","0","3.125","3.333333","2.083333","0","0","0","42.857143","11.111112"
"14","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;NA;NA;","0","0","4.347826","0","0","0","0","0","10","0","0","0","0","0","0","0","0","11.111112"
"10","Unclassified","23.07692","14.285712","17.391306","5.882355","16.666663","33.33333","20","33.33333","40","21.05263","21.875","29.999998","43.750001","36.363636","10","28.571427","42.857142","22.222217"
