"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;","18.75","23.809525","38.888889","29.629629","27.272728","33.333336","58.333332","30.000002","25","56.25","44.444447","31.25","34.482758","29.411766","61.538464","21.428572","15.000001","30.000002"
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;","12.5","14.285715","16.666668","7.407407","9.090909","25","0","0","0","12.5","5.555556","12.5","10.344828","0","0","0","10","0"
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;NA;NA;","6.25","0","0","0","4.545455","0","0","0","4.166667","0","0","0","0","0","0","7.142858","5","10"
"4","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;NA;NA;","6.25","4.761905","0","0","4.545455","0","0","0","0","0","5.555556","0","0","0","0","0","0","0"
"5","Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;NA;NA;","6.25","0","0","0","4.545455","0","0","0","0","0","0","6.25","0","5.882353","0","0","0","0"
"6","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;","6.25","14.285715","5.555556","3.703704","13.636364","0","8.333334","0","8.333334","6.25","5.555556","0","10.344828","11.764706","7.692308","0","5","0"
"7","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;NA;","6.25","9.523809","5.555556","3.703704","9.090909","0","0","15.000001","4.166667","6.25","11.111112","6.25","6.896552","11.764706","7.692308","7.142858","5","0"
"13","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;NA;","0","0","5.555556","0","4.545455","8.333334","0","0","4.166667","6.25","5.555556","0","0","11.764706","0","0","0","0"
"14","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;","0","0","0","11.111112","0","0","0","0","8.333334","0","0","0","0","0","0","7.142858","0","10"
"15","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;","0","0","0","7.407407","0","0","8.333334","10","0","0","0","0","0","5.882353","0","7.142858","0","0"
"16","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NA;NA;","0","0","0","3.703704","9.090909","0","0","0","0","0","0","0","3.448276","0","0","0","0","0"
"17","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;NA;NA;","0","0","0","3.703704","0","0","0","10","4.166667","0","0","0","0","5.882353","0","0","10","0"
"18","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;NA;NA;","0","0","0","3.703704","4.545455","0","0","10","12.5","12.5","0","6.25","10.344828","5.882353","0","0","10","10"
"14.1","Unclassified","37.5","33.333331","27.777775","25.925925","9.090906","33.33333","25","24.999997","29.166664","0","22.222217","37.5","24.13793","11.764704","23.07692","49.999996","39.999999","39.999998"
