"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis;","6.25","4.761905","5.555556","3.703704","4.545455","0","8.333334","5","4.166667","6.25","5.555556","6.25","3.448276","5.882353","7.692308","0","0","10"
"2","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;Marinilabiliaceae;Marinilabilia;Marinilabilia salmonicolor;","6.25","4.761905","0","0","4.545455","0","0","0","0","0","5.555556","0","0","0","0","0","0","0"
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas sp. COT-239 OH1446;","6.25","0","0","0","0","0","0","0","4.166667","0","0","0","0","0","0","0","5","0"
"4","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella sp.;","6.25","4.761905","0","0","0","0","0","0","0","0","5.555556","6.25","0","0","0","0","0","0"
"5","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. MGM2;","6.25","4.761905","0","0","0","0","0","0","0","0","0","0","3.448276","0","0","0","0","0"
"9","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:927;","0","9.523809","5.555556","11.111112","13.636364","0","8.333334","5","8.333334","12.5","5.555556","0","6.896552","11.764706","15.384616","0","10","10"
"10","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii;","0","4.761905","0","3.703704","4.545455","0","0","5","4.166667","6.25","5.555556","0","3.448276","5.882353","0","7.142858","5","0"
"12","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fluxus;","0","4.761905","5.555556","3.703704","4.545455","8.333334","8.333334","0","4.166667","0","5.555556","6.25","3.448276","5.882353","7.692308","14.285715","0","0"
"13","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. CAG:891;","0","0","5.555556","0","4.545455","8.333334","0","0","0","6.25","0","0","3.448276","0","0","0","0","0"
"15","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes dispar;","0","0","5.555556","0","4.545455","8.333334","0","0","4.166667","6.25","5.555556","0","0","5.882353","0","0","0","0"
"17","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium;","0","0","0","11.111112","0","0","0","0","8.333334","0","0","0","0","0","0","7.142858","0","0"
"18","Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;uncultured Ruminococcus sp.;","0","0","0","3.703704","0","0","8.333334","5","0","0","0","0","0","5.882353","0","7.142858","0","0"
"19","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides helcogenes;","0","0","0","3.703704","4.545455","0","0","0","0","0","0","6.25","0","0","7.692308","0","0","0"
"23","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas sp. 31_2;","0","0","0","0","4.545455","0","0","0","0","0","0","0","0","0","0","7.142858","0","10"
"27","Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;[Clostridium] saccharogumia;","0","0","0","0","0","0","0","10","0","0","0","0","0","5.882353","0","0","10","0"
"28","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium VE202-01;","0","0","0","0","0","0","0","10","4.166667","0","0","0","0","5.882353","0","0","30.000002","30.000002"
"31","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:661;","0","0","0","0","0","0","0","0","0","0","5.555556","0","3.448276","0","0","0","5","0"
"18.1","Unclassified","68.75","61.904761","72.22222","59.259256","49.999996","74.999998","66.666664","60","58.33333","62.5","55.555552","75","72.413792","47.058823","61.53846","57.142853","34.999998","39.999998"
