"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium A4;","23.076923","9.090909","0","0","7.692308","0","0","0","0","5.882353","10","13.333334","0","16.666668","0","0","0","0"
"2","Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:137;","15.384616","0","0","5.555556","7.692308","0","12.5","40","20.833332","0","0","0","7.692308","0","0","0","0","0"
"3","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium plexicaudatum;","7.692308","9.090909","0","0","0","0","0","6.666667","0","0","0","0","0","0","0","0","0","0"
"4","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella timonensis;","7.692308","0","0","0","0","0","0","0","4.166667","0","20","0","3.846154","8.333334","0","0","0","0"
"5","Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:646;","7.692308","0","7.142858","5.555556","7.692308","0","6.25","0","0","11.764706","0","0","3.846154","16.666668","25","8.333334","11.111112","0"
"9","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium perfringens;","0","9.090909","0","0","0","0","0","0","0","0","0","6.666667","3.846154","0","0","0","0","0"
"10","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. 885;","0","9.090909","0","0","0","0","0","0","0","0","10","0","0","0","0","8.333334","0","0"
"11","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. P4-51;","0","9.090909","0","0","15.384616","20","12.5","13.333334","8.333334","17.647058","0","13.333334","3.846154","0","0","0","0","0"
"12","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella sp. E39;","0","0","14.285715","0","0","10","0","0","0","0","10","0","3.846154","0","0","0","0","0"
"13","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;Alloprevotella sp. OH1205_COT-284;","0","0","14.285715","0","15.384616","0","0","0","0","5.882353","10","6.666667","3.846154","0","0","0","0","0"
"14","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens;","0","0","7.142858","0","0","0","0","0","4.166667","11.764706","10","0","3.846154","8.333334","0","0","11.111112","100"
"15","Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus canis;","0","0","7.142858","5.555556","0","10","0","0","0","0","0","6.666667","0","0","0","0","0","0"
"16","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. CAG:927;","0","0","0","11.111112","0","0","0","0","8.333334","11.764706","0","0","15.384616","8.333334","37.5","16.666668","11.111112","0"
"17","Bacteria;Firmicutes;NA;NA;NA;NA;Firmicutes bacterium CAG:137_57_8;","0","0","0","11.111112","0","0","6.25","13.333334","8.333334","0","0","0","3.846154","0","0","0","0","0"
"15.1","Unclassified","38.461537","54.545455","49.999996","61.111108","46.153844","60","62.5","26.666665","45.833332","35.294118","30","53.333331","46.153844","41.666662","37.5","66.666664","66.666664","0"
