"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis;","5.617978","2.439024","1.851852","2.631579","2.307692","3.191489","4.838709","3.75","6.086957","2.189781","1.818182","1.041667","1.886792","0","2.173913","3.703704","2.702703","2.325581"
"2","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii;","4.494382","6.097561","0.925926","1.754386","2.307692","0","0","2.5","1.73913","2.189781","3.636364","0","3.144654","3.658536","0","6.17284","1.351351","3.488372"
"3","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-002 (NCI);","4.494382","3.658536","0","3.508772","0","1.06383","1.612903","0","0.869565","0.729927","3.636364","2.083333","1.257862","2.439024","3.26087","1.234568","0","0"
"4","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes sp. Z76;","3.370786","3.658536","1.851852","1.754386","1.538462","2.12766","1.612903","0","0.869565","0","0.909091","2.083333","1.257862","2.439024","0","2.469136","1.351351","0"
"6","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes dispar;","2.247191","0","0","0","0.769231","0","0","0","1.73913","0","0.909091","1.041667","0","1.219512","2.173913","0","6.756756","1.162791"
"7","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis;","1.123595","4.878048","1.851852","5.263158","2.307692","4.255319","3.225806","2.5","2.608696","4.379562","2.727273","4.166667","2.515723","3.658536","6.521739","0","0","3.488372"
"8","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus;","1.123595","0","0","0.877193","0","0","0","1.25","0.869565","0.729927","0.909091","0","0.628931","1.219512","1.086957","0","1.351351","3.488372"
"9","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris;","1.123595","0","0","0","0","0","1.612903","1.25","0","0","0","0","0.628931","0","1.086957","0","0","0"
"10","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides acidifaciens;","1.123595","0","0.925926","0.877193","0.769231","0","1.612903","0","0","0","0.909091","0","0","0","0","1.234568","0","0"
"11","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri;","1.123595","0","0.925926","0","0.769231","0","0","0","0","0.729927","0.909091","1.041667","0","0","0","0","0","0"
"12","Eukaryota;Preaxostyla;NA;Oxymonadida;Streblomastigidae;Streblomastix;Streblomastix strix;","1.123595","2.439024","0.925926","0","1.538462","0","0","0","0","0","0","1.041667","0","2.439024","1.086957","0","0","0"
"13","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides helcogenes;","1.123595","1.219512","0","0","0","0","0","0","0","0","0.909091","0","1.886792","0","0","0","0","0"
"14","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides pyogenes;","1.123595","0","0","0.877193","0.769231","0","1.612903","0","0.869565","0.729927","0","0","0.628931","0","0","0","0","1.162791"
"17","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii;","1.123595","0","0.925926","1.754386","0.769231","3.191489","0","0","0.869565","5.109489","2.727273","1.041667","1.257862","0","1.086957","1.234568","0","1.162791"
"18","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides rodentium;","1.123595","2.439024","1.851852","1.754386","1.538462","2.12766","4.838709","2.5","0.869565","0.729927","1.818182","2.083333","1.257862","2.439024","2.173913","0","0","0"
"19","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. oral taxon 376;","1.123595","1.219512","0","0.877193","0","0","0","0","0","0","0.909091","1.041667","0","0","0","0","0","0"
