"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;","35.664333","29.166666","28.04878","33.898308","24.13793","34.905659","40.909092","30.487806","31.48148","29.126215","26.530611","34","37.714283","35","37.68116","26.966291","35.185184","33.333336"
"2","Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;","34.965034","42.708336","53.658539","32.203392","52.586208","40.56604","30.681818","47.560974","45.370369","53.39806","52.040817","39","38.857143","36.25","49.275364","53.932583","48.148148","55.555557"
"3","Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;","5.594406","0","2.439024","4.237288","4.310345","0","2.272727","2.439024","3.703704","2.912621","2.040816","0","2.285714","7.5","4.347826","0","0","0"
"4","Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;","0.699301","1.041667","0","0","0","0","0","0","0","0.970874","1.020408","0","0","0","0","0","0","1.587302"
"6","Bacteria;Verrucomicrobia;Verrucomicrobiae;NA;NA;NA;NA;","0.699301","1.041667","0","0.847458","0","0","0","1.219512","0","0","1.020408","1","0.571429","0","0","1.123595","0","0"
"7","Bacteria;Verrucomicrobia;Opitutae;NA;NA;NA;NA;","0.699301","1.041667","0","0.847458","0","0","0","0","0.925926","0","1.020408","0","0","0","0","0","0","0"
"8","Bacteria;Bacteroidetes;Cytophagia;NA;NA;NA;NA;","0.699301","1.041667","1.219512","0.847458","0.862069","0.943396","0","0","0","0","1.020408","0","0","0","0","0","0","0"
"13","Bacteria;Actinobacteria;Coriobacteriia;NA;NA;NA;NA;","0","2.083333","0","0","0.862069","0.943396","1.136364","0","0","0.970874","1.020408","0","0","0","0","1.123595","0","0"
"14","Bacteria;Bacteroidetes;Flavobacteriia;NA;NA;NA;NA;","0","0","1.219512","0.847458","1.724138","0","1.136364","0","0","0","0","1","0","1.25","0","0","3.703704","0"
"15","Bacteria;Firmicutes;Erysipelotrichia;NA;NA;NA;NA;","0","0","0","0.847458","0.862069","0","0","0","0","0","0","0","0.571429","0","0","0","0","0"
"11","Unclassified","20.979023","21.874997","13.414633","25.423722","14.655172","22.641509","23.863635","18.292684","18.518521","12.621356","14.285716","25","20.000002","20","8.69565","16.853936","12.962964","9.523805"
