"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides vulgatus;","3.571429","7.142858","0","0","3.225806","6.25","0","5.263158","0","5.263158","9.090909","0","0","0","9.523809","0","40","5"
"2","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] polysaccharolyticum;","3.571429","0","3.846154","0","0","0","0","0","5.555556","0","4.545455","0","0","0","0","0","0","0"
"4","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella copri;","3.571429","3.571429","0","0","3.225806","0","5.555556","5.263158","0","2.631579","0","3.846154","0","0","0","0","0","0"
"5","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens;","3.571429","0","0","2.941176","0","0","11.111112","0","5.555556","2.631579","4.545455","0","0","0","0","0","20","5"
"6","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella oryzae;","3.571429","3.571429","3.846154","0","3.225806","0","0","0","0","2.631579","0","0","0","0","0","0","0","0"
"7","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides finegoldii;","3.571429","3.571429","0","0","0","0","0","5.263158","0","0","0","3.846154","0","4.761905","0","0","0","5"
"8","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Enterocloster;Enterocloster lavalensis;","3.571429","0","0","0","3.225806","0","0","0","0","0","0","3.846154","0","4.761905","0","0","0","0"
"9","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sartorii;","3.571429","0","3.846154","0","0","6.25","0","0","11.111112","2.631579","0","0","0","0","0","0","0","5"
"10","Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. CAG:62;","3.571429","3.571429","3.846154","2.941176","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga jiangningensis;","3.571429","0","3.846154","2.941176","0","12.5","5.555556","0","5.555556","0","0","3.846154","2.222222","4.761905","0","0","0","0"
"14","Bacteria;Verrucomicrobia;NA;NA;NA;NA;Verrucomicrobia bacterium;","3.571429","0","0","0","3.225806","0","0","0","0","0","0","0","2.222222","0","0","0","20","0"
"16","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-110 (HZI);","3.571429","10.714286","0","5.882353","3.225806","0","16.666668","15.789473","11.111112","5.263158","9.090909","3.846154","6.666667","14.285715","9.523809","22.222223","0","0"
"17","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;Lachnospiraceae bacterium MD329;","3.571429","0","0","2.941176","3.225806","0","0","0","0","0","0","0","2.222222","0","9.523809","0","0","0"
"23","Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;Eubacterium xylanophilum;","0","3.571429","0","0","0","0","0","0","0","5.263158","0","0","2.222222","0","0","0","0","0"
"26","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides gallinarum;","0","3.571429","0","2.941176","0","0","5.555556","5.263158","0","0","0","0","2.222222","0","4.761905","0","0","0"
"27","Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia sp. CAG:309;","0","3.571429","3.846154","2.941176","0","0","0","0","0","2.631579","4.545455","3.846154","2.222222","0","4.761905","0","0","0"
"30","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum sp. TLL-A4;","0","3.571429","0","2.941176","0","0","0","0","0","0","4.545455","3.846154","2.222222","0","0","0","0","0"
"31","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis;","0","0","3.846154","2.941176","0","0","5.555556","5.263158","0","0","0","0","0","0","4.761905","0","0","5"
"34","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides congonensis;","0","0","3.846154","0","3.225806","0","0","0","0","5.263158","0","0","0","0","0","0","0","0"
"35","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;Bacteroidales bacterium;","0","0","3.846154","0","3.225806","6.25","0","0","5.555556","2.631579","0","0","0","4.761905","0","0","0","0"
"36","Bacteria;NA;NA;NA;NA;NA;bacterium D16-50;","0","0","3.846154","0","0","6.25","0","0","0","0","0","3.846154","6.666667","0","0","0","0","0"
"37","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella brevis;","0","0","0","2.941176","3.225806","0","0","0","0","0","0","3.846154","2.222222","4.761905","0","0","0","0"
"41","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;Clostridiales bacterium KLE1615;","0","0","0","2.941176","0","0","0","0","0","0","4.545455","0","0","4.761905","0","0","0","0"
"45","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes senegalensis;","0","0","0","0","3.225806","0","0","0","0","0","0","0","2.222222","0","0","0","0","15.000001"
"49","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides plebeius;","0","0","0","0","0","6.25","5.555556","0","0","0","0","0","0","0","4.761905","0","0","0"
"66","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides intestinalis;","0","0","0","0","0","0","0","0","0","0","0","0","2.222222","0","4.761905","11.111112","0","0"
"27.1","Unclassified","53.571423","53.571424","61.53846","64.705887","64.516134","56.25","44.44444","57.894737","55.555552","63.157894","59.090907","65.384614","64.444446","57.142855","47.619048","66.666665","20","59.999999"
