"","X","I.P01","I.P07","I.P11","I.S07","I.S29","I.S34","I.W31","I.W32","I.W33","S.P03","S.P09","S.P12","S.S05","S.S08","S.S32","S.W36","S.W37","S.W20"
"1","Bacteria;Firmicutes;NA;NA;NA;NA;NA;","44.255318","31.400967","39.884396","41.201717","36.697247","29.203541","39.830509","42.452831","38.888889","39.884396","35.483871","40.298508","41.569767","40.963856","34.959351","32.291664","39.682541","49.367088"
"2","Bacteria;Bacteroidetes;NA;NA;NA;NA;NA;","22.553192","38.164253","36.416183","35.622318","37.15596","43.362831","40.677963","38.679245","41.26984","45.664742","40.322582","26.865673","32.55814","37.349396","49.593498","51.041668","41.26984","44.303799"
"3","Bacteria;Verrucomicrobia;NA;NA;NA;NA;NA;","2.12766","1.932367","0.578035","2.145923","0.917431","0.884956","0","3.773585","0","1.734104","1.075269","0.497512","0","0","0","3.125","3.174603","1.265823"
"4","Bacteria;Actinobacteria;NA;NA;NA;NA;NA;","1.276596","1.449275","1.734104","1.716738","1.834862","1.769912","1.694915","3.773585","3.968254","0.578035","1.075269","0","0.581395","1.204819","2.439024","3.125","3.174603","1.265823"
"5","Bacteria;Tenericutes;NA;NA;NA;NA;NA;","0.851064","0","0","0","0","0","0","0","0","0","0","0.497512","1.162791","0","0","0","0","0"
"6","Eukaryota;Ascomycota;NA;NA;NA;NA;NA;","0.425532","0.483092","0","0.429185","0.917431","1.769912","0","0","1.587302","1.734104","0","0","0.581395","0","0","0","0","0"
"11","Eukaryota;Preaxostyla;NA;NA;NA;NA;NA;","0","1.449275","0","0","0.458716","0","0","0","0","0","0","0","0","1.204819","0","0","0","0"
"12","Bacteria;Proteobacteria;NA;NA;NA;NA;NA;","0","0.483092","0","0","0","0","0","0.943396","0","0.578035","0","0.995025","0","0","0","0","0","0"
"13","Bacteria;Chloroflexi;NA;NA;NA;NA;NA;","0","0.483092","0","0","0.917431","0","0","0.943396","0.793651","0","0","0.497512","0.581395","0.60241","0","0","0","0"
"10","Unclassified","28.510638","24.154587","21.387282","18.884119","21.100922","23.008848","17.796613","9.43396199999999","13.492064","9.826584","22.043009","30.348258","22.965117","18.6747","13.008127","10.416668","12.698413","3.797467"
