Acetate	-0.525172082004562	-0.79005927819053	0.0007867694615995291
Butyrate	-0.35240555466771667	0.3604863087782917	-0.3153861837652629
Fructose	-0.0876646167043726	0.18495223701227526	0.07610071018440889
Glucose	0.08525067526867383	0.07071283945555207	0.8343958947114838
Glutamate	-0.14804920727556145	0.2250797593119434	0.07019775840701328
Lactate	0.3490345239857271	-0.10560837335081427	-0.15503091252091156
Mannose	0.25042098723026757	-0.03975136512235328	0.1250815127112152
Phenylalanine	0.4302405829557574	-0.15975510758951675	-0.32455290248275664
Propionate	-0.31186557801974274	0.3337188139134105	-0.1515631397745247
Uracil	0.3102102692315294	-0.07977583421825965	-0.16002950693229573
