Full	Domain	Phylum	Class	Order	Family	Genus	Species	ID
unclassified*NA*NA*NA*NA*NA*NA	unclassified	NA	NA	NA	NA	NA	NA	1
Bacteria*Firmicutes*Clostridia*Clostridiales*Eubacteriaceae*Eubacterium*Eubacterium sp. BL-380-WT-2B	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. BL-380-WT-2B	1187
Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Lachnoanaerobaculum*Lachnoanaerobaculum orale	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoanaerobaculum	Lachnoanaerobaculum orale	1652
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Clostridium*Clostridium sp. ND2	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. ND2	1768
Bacteria*Firmicutes*Clostridia*Clostridiales*Clostridiaceae*Butyricicoccus*Butyricicoccus sp. AF35-5AC	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus	Butyricicoccus sp. AF35-5AC	1779
Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Saliterribacillus*Saliterribacillus persicus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Saliterribacillus	Saliterribacillus persicus	3037
Bacteria*Firmicutes*Bacilli*Bacillales*Bacillaceae*Virgibacillus*Virgibacillus sp. 7505	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus sp. 7505	3625
Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Spirosoma*NA	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	NA	4018
Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Marinoscillum*NA	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Marinoscillum	NA	4036
Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*NA*NA*Bacteroidales bacterium KA00344	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	Bacteroidales bacterium KA00344	4259
Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella*Prevotella sp. BCRC 81118	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. BCRC 81118	4498
Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Psychroflexus*Psychroflexus salarius	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus salarius	5273
Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Cryomorphaceae*NA*Cryomorphaceae bacterium MED-G14	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	NA	Cryomorphaceae bacterium MED-G14	6065
Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*Flavobacteriaceae*Chryseobacterium*Chryseobacterium scophthalmum	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	Chryseobacterium scophthalmum	6079
Bacteria*Proteobacteria*Deltaproteobacteria*Myxococcales*Myxococcaceae*NA*NA	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	NA	NA	6171
Bacteria*Proteobacteria*Betaproteobacteria*Neisseriales*Chromobacteriaceae*Chromobacterium*NA	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	NA	6325
Bacteria*Proteobacteria*Alphaproteobacteria*Rhodospirillales*Rhodospirillaceae*Magnetospira*Magnetospira sp. QH-2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira	Magnetospira sp. QH-2	7272
Bacteria*Proteobacteria*Gammaproteobacteria*Nevskiales*Sinobacteraceae*Solimonas*Solimonas terrae	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Solimonas	Solimonas terrae	7453
Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Comamonadaceae*Extensimonas*Extensimonas vulgaris	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Extensimonas	Extensimonas vulgaris	7696
Bacteria*Proteobacteria*Betaproteobacteria*Burkholderiales*Comamonadaceae*Xenophilus*Xenophilus sp. L33	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Xenophilus	Xenophilus sp. L33	7825
Bacteria*Proteobacteria*Gammaproteobacteria*Oceanospirillales*Halomonadaceae*Halomonas*Halomonas cupida	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas cupida	8307
Bacteria*Verrucomicrobia*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia*Akkermansia sp. KLE1797	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia sp. KLE1797	8648
Bacteria*Verrucomicrobia*Verrucomicrobiae*Verrucomicrobiales*Akkermansiaceae*Akkermansia*Akkermansia sp. BIOML-A41	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia sp. BIOML-A41	8661
Bacteria*Actinobacteria*Coriobacteriia*Coriobacteriales*Atopobiaceae*Olsenella*Olsenella sp. An270	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	Olsenella sp. An270	8786
Bacteria*Lentisphaerae*NA*NA*NA*NA*Lentisphaerae bacterium GWF2_49_21	Bacteria	Lentisphaerae	NA	NA	NA	NA	Lentisphaerae bacterium GWF2_49_21	10288
Bacteria*Candidatus Falkowbacteria*NA*NA*NA*NA*Candidatus Falkowbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_43_11	Bacteria	Candidatus Falkowbacteria	NA	NA	NA	NA	Candidatus Falkowbacteria bacterium CG10_big_fil_rev_8_21_14_0_10_43_11	10921
Bacteria*NA*NA*NA*NA*NA*bacterium D16-36	Bacteria	NA	NA	NA	NA	NA	bacterium D16-36	11196
Bacteria*NA*NA*NA*NA*NA*candidate division TA06 bacterium B3_TA06	Bacteria	NA	NA	NA	NA	NA	candidate division TA06 bacterium B3_TA06	11374
