ta1	ta2	ta3	ta4	ta5	ta6	ta7	ta8	ta9	
7	Bacteria*Firmicutes*Clostridia*Clostridiales*NA*NA*NA	Bacteria	Firmicutes	Clostridia	Clostridiales	NA	NA	Clostridiales	7
57	Bacteria*Firmicutes*Clostridia*Clostridiales*Ruminococcaceae*Flavonifractor*NA	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Flavonifractor	57
565	Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Butyrivibrio*Butyrivibrio sp. AE3009	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. AE3009	565
937	Bacteria*Firmicutes*Clostridia*Clostridiales*Lachnospiraceae*Butyrivibrio*Butyrivibrio sp. M55	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. M55	937
1959	Bacteria*Firmicutes*Tissierellia*Tissierellales*Peptoniphilaceae*Peptoniphilus*Peptoniphilus sp. ING2-D1G	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus sp. ING2-D1G	1959
3949	Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*NA*NA*NA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	Bacteroidales	3949
3977	Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella*NA	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella	3977
4681	Bacteria*Bacteroidetes*Cytophagia*Cytophagales*Cytophagaceae*Pseudarcicella*Pseudarcicella hirudinis	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Pseudarcicella	Pseudarcicella hirudinis	4681
5145	Bacteria*Bacteroidetes*Bacteroidia*Bacteroidales*Prevotellaceae*Prevotella*Prevotella sp. HMSC069G02	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. HMSC069G02	5145
5381	Bacteria*Bacteroidetes*Chitinophagia*Chitinophagales*Chitinophagaceae*Niastella*Niastella populi	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Niastella	Niastella populi	5381
5761	Bacteria*Bacteroidetes*Flavobacteriia*Flavobacteriales*NA*NA*Flavobacteriales bacterium 34_180_T64	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NA	NA	Flavobacteriales bacterium 34_180_T64	5761
7199	Bacteria*Proteobacteria*Alphaproteobacteria*Sphingomonadales*Sphingomonadaceae*Zymomonas*Zymomonas mobilis	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Zymomonas	Zymomonas mobilis	7199
7628	Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Hyphomonadaceae*Marinicauda*Marinicauda sp. WD6-1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae	Marinicauda	Marinicauda sp. WD6-1	7628
7637	Bacteria*Proteobacteria*Alphaproteobacteria*Rhodobacterales*Rhodobacteraceae*NA*Rhodobacteraceae bacterium RKSG542	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	Rhodobacteraceae bacterium RKSG542	7637
8467	Bacteria*Proteobacteria*Gammaproteobacteria*Thiotrichales*Francisellaceae*Francisella*Francisella uliginis	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella uliginis	8467
8742	Bacteria*Actinobacteria*Actinobacteria*Propionibacteriales*Nocardioidaceae*Kribbella*NA	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	Kribbella	8742
8863	Bacteria*Actinobacteria*Coriobacteriia*Eggerthellales*Eggerthellaceae*Raoultibacter*Raoultibacter timonensis	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Raoultibacter	Raoultibacter timonensis	8863
9168	Bacteria*Actinobacteria*Actinobacteria*Glycomycetales*Glycomycetaceae*Glycomyces*Glycomyces xiaoerkulensis	Bacteria	Actinobacteria	Actinobacteria	Glycomycetales	Glycomycetaceae	Glycomyces	Glycomyces xiaoerkulensis	9168
9494	Bacteria*Tenericutes*Mollicutes*Entomoplasmatales*Spiroplasmataceae*Spiroplasma*Spiroplasma taiwanense	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae	Spiroplasma	Spiroplasma taiwanense	9494
10263	Bacteria*Lentisphaerae*NA*NA*NA*NA*Lentisphaerae bacterium GWF2_49_21	Bacteria	Lentisphaerae	NA	NA	NA	NA	Lentisphaerae bacterium GWF2_49_21	10263
10817	Bacteria*Thermodesulfobacteria*Thermodesulfobacteria*Thermodesulfobacteriales*NA*NA*Thermodesulfobacteriales bacterium	Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	NA	NA	Thermodesulfobacteriales bacterium	10817
10981	Bacteria*Candidatus Wallbacteria*NA*NA*NA*NA*Candidatus Wallbacteria bacterium HGW-Wallbacteria-1	Bacteria	Candidatus Wallbacteria	NA	NA	NA	NA	Candidatus Wallbacteria bacterium HGW-Wallbacteria-1	10981
