,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;NA;,27.586206,18.518518,20.833332,12.500000,31.034481,40.909092,26.086956,25.000000,20.000000,20.000000,14.814815,20.000000,21.428572,12.000000,31.578945,21.428572,21.428572,33.333336
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;,13.793103,7.407407,4.166667,15.625000,6.896552,4.545455,26.086956,25.000000,16.666668,13.333334,22.222223,10.000000,16.666668,12.000000,21.052631,21.428572,7.142858,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;,10.344828,7.407407,29.166666,12.500000,6.896552,9.090909,17.391304,15.000001,10.000000,23.333334,18.518518,10.000000,14.285715,20.000000,15.789473,10.714286,14.285715,44.444447
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;,10.344828,14.814815,16.666668,12.500000,3.448276,18.181818,4.347826,10.000000,6.666667,10.000000,11.111112,15.000001,9.523809,8.000000,10.526316,7.142858,7.142858,11.111112
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA;NA;,6.896552,0,8.333334,6.250000,3.448276,0,0,0,3.333333,0,7.407407,0,7.142858,4.000000,0,0,7.142858,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;NA;,3.448276,3.703704,0,3.125000,3.448276,4.545455,0,5.000000,3.333333,3.333333,3.703704,5.000000,4.761905,4.000000,0,7.142858,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) family,27.586206,37.037037,16.666668,31.250000,31.034481,18.181818,21.739130,10.000000,33.333336,30.000002,11.111112,20.000000,21.428572,28.000000,15.789473,21.428572,28.571430,11.111112
unclassified,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;NA;NA;,0,3.703704,4.166667,3.125000,6.896552,0,0,5.000000,0,0,3.703704,10.000000,2.380952,4.000000,0,3.571429,0,0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;NA;NA;,0,3.703704,0,0,0,0,0,0,0,0,7.407407,0,0,4.000000,0,0,7.142858,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;,0,3.703704,0,0,0,0,0,0,0,0,0,0,0,0,5.263158,0,0,0
Eukaryota;Fornicata;NA;Diplomonadida;Hexamitidae;NA;NA;,0,0,0,3.125000,0,0,0,0,0,0,0,0,0,0,0,3.571429,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;NA;NA;,0,0,0,0,3.448276,0,4.347826,5.000000,6.666667,0,0,5.000000,0,0,0,3.571429,7.142858,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;NA;NA;,0,0,0,0,3.448276,4.545455,0,0,0,0,0,0,2.380952,4.000000,0,0,0,0
