"","taxon","cohenD","power","fdr"
"1","Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;",-2.65527519229728,0.996418209492383,0.0112044817927171
"2","Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;NA;",0.797662012524994,0.289271093975929,0.0112044817927171
"3","Bacteria;Actinobacteria;Actinobacteria;Micrococcales;NA;NA;NA;",0.718876111279864,0.244157283507896,0.0112044817927171
"4","Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;NA;NA;NA;",0.764506559218315,0.269798197568322,0.0112044817927171
"5","Bacteria;Firmicutes;Bacilli;Bacillales;NA;NA;NA;",0.890132196194309,0.346881035233306,0.0112044817927171
"6","Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;NA;NA;",-1.40628060600845,0.695054120059734,0.0112044817927171
"7","Bacteria;Firmicutes;Bacilli;Lactobacillales;NA;NA;NA;",-0.0885702190731524,0.0527933841909835,0.029919660171761
"8","Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;NA;NA;NA;",1.35526139292726,0.663097849810294,0.0911441499676794
"9","Unclassified",2.51990663781372,0.992929215441825,0.108309990662932
"10","Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;NA;NA;NA;",1.05843981078048,0.460595941600436,0.150226244343891
"11","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NA;NA;NA;",0.94479234095468,0.382838126999055,0.159134982664394
"12","Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA;NA;NA;",1.01717170549306,0.432018607584208,0.296918767507003
"13","Bacteria;Actinobacteria;Actinobacteria;Actinopolysporales;NA;NA;NA;",0.293997438358487,0.0812382133882275,0.760180995475113
"14","Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;NA;",0.333581875844837,0.0903817712367213,0.858250992704774
"15","Bacteria;Bacteroidetes;Saprospiria;Saprospirales;NA;NA;NA;",-0.127163084212199,0.0557679404852662,1
"16","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;NA;NA;NA;",0.604006483134327,0.186154304522856,1
