Domain,Phylum,Class,Order,Family,Genus,pval,padj
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,1.53E-05,0.000119019
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,1.53E-05,0.000119019
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,1.53E-05,0.000119019
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Candidatus Amulumruptor,1.53E-05,0.000119019
Unclassified,-,-,-,-,-,1.53E-05,0.000119019
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,0.000482403,0.003135619
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,0.000726514,0.00404772
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Dysgonomonas,0.001661694,0.00810076
Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,0.002526174,0.00985208
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,0.002526174,0.00985208
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,0.005921537,0.019244995
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.005921537,0.019244995
Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Mangrovibacterium,0.009151689,0.027455067
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,0.014266187,0.03477383
Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Marinilabilia,0.014266187,0.03477383
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0.014266187,0.03477383
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zeaxanthinibacter,0.022494271,0.043863829
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,0.022494271,0.043863829
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.022494271,0.043863829
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Fibrisoma,0.022494271,0.043863829
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,0.036031686,0.054047529
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,0.036031686,0.054047529
Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,0.036031686,0.054047529
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,0.036031686,0.054047529
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,0.036031686,0.054047529
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.036031686,0.054047529
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,0.059058229,0.082259676
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,0.059058229,0.082259676
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,0.100348246,0.122299425
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,0.100348246,0.122299425
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,0.100348246,0.122299425
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,0.100348246,0.122299425
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor,0.181449208,0.181449208
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,0.181449208,0.181449208
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Pseudobutyrivibrio,0.181449208,0.181449208
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,0.181449208,0.181449208
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fournierella,0.181449208,0.181449208
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Neglecta,0.181449208,0.181449208
Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Lewinellaceae,Lewinella,0.181449208,0.181449208
