,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;,47.264874,44.826572,45.639187,46.843575,39.022064,56.482864,83.967140,65.875366,45.526840,49.898003,36.025639,34.145103,43.041473,40.613586,48.605148,74.351089,70.659431
Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;,1.199616,0.029394,1.732378,3.044693,1.906837,0.298063,0.469484,0.259644,0.695825,0.530396,2.478632,0.405885,1.658986,2.593134,0,0,1.377295
Bacteria;Actinobacteria;Actinobacteria;NA;NA;NA;NA;,0.431862,0.058789,0,0.111732,0.844457,0.447094,0.046948,0.074184,0.099404,0,0.555556,2.968037,0.046083,0.803506,2.145923,0,0.041736
Bacteria;Deinococcus-Thermus;Deinococci;NA;NA;NA;NA;,0.335893,0.029394,0.059737,0.027933,0.122582,0.074516,0.046948,0,0,0.020400,0.427350,1.750381,0,0.401753,0.965665,0,0
Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;,0.287908,0.323339,0.836320,0.111732,0.599292,0.149031,0.023474,0,0.099404,0.142799,0.085470,0.050736,0.092166,1.205259,0.071531,0.034153,0.083472
Bacteria;Bacteroidetes;Sphingobacteriia;NA;NA;NA;NA;,0.143954,0,0,0.195531,0.013620,0,0.023474,0.037092,0.198807,0.081599,0.042735,0.025368,0.184332,0,0,0.478142,0.542571
Eukaryota;Ascomycota;Eurotiomycetes;NA;NA;NA;NA;,0.047985,0.088183,0.179211,0.027933,0.108962,0.149031,0,0,0,0,0.085470,0.329782,0,0.109569,0.143062,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) class,4.942418,4.703115,6.810036,3.491620,3.731953,8.271236,1.455399,1.409495,10.337972,13.667891,3.803419,2.207001,3.640553,5.807158,1.734621,0.717213,0.166945
unclassified,45.345488,49.441504,44.265231,45.391062,52.846634,33.904621,13.943662,32.232937,42.942345,35.454917,55.982906,57.787925,50.737327,48.210374,45.994279,24.385247,24.582638
Bacteria;Bacteroidetes;Flavobacteriia;NA;NA;NA;NA;,0,0.293945,0.418160,0.195531,0.435849,0.223547,0,0.037092,0,0.040800,0,0,0.046083,0,0.107296,0,0
Bacteria;Bacteroidetes;Cytophagia;NA;NA;NA;NA;,0,0.176367,0.059737,0.558659,0.367747,0,0,0,0.099404,0.101999,0.128205,0.076104,0.414747,0.182615,0.053648,0,0
Bacteria;Bacteroidetes;Chitinophagia;NA;NA;NA;NA;,0,0.029394,0,0,0,0,0,0,0,0.020400,0,0,0,0,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;,0,0,0,0,0,0,0.023474,0,0,0.020400,0.341880,0,0.092166,0,0,0,0
Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0.037092,0,0,0,0,0,0.036523,0,0,0
Bacteria;Bacteroidetes;Saprospiria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0.037092,0,0.020400,0,0,0.046083,0,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0.042735,0.228310,0,0.036523,0.178827,0,0
Eukaryota;Chytridiomycota;Neocallimastigomycetes;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0.025368,0,0,0,0,0
Bacteria;Verrucomicrobia;Verrucomicrobiae;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034153,0
Bacteria;Firmicutes;Erysipelotrichia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.545910
