,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37
Bacteria;Bacteroidetes;NA;NA;NA;NA;NA;,47.408829,45.326279,46.117085,47.793297,39.839279,56.706409,83.990608,65.986649,45.825050,50.163197,36.196579,34.246574,43.778801,40.796204,48.766094,74.829231,71.202003
Bacteria;Firmicutes;NA;NA;NA;NA;NA;,1.487524,0.352734,2.568698,3.156425,2.506129,0.447094,0.492958,0.259644,0.795229,0.673195,2.606838,0.507357,1.843318,3.834916,0.071531,0.034153,4.173623
Bacteria;Actinobacteria;NA;NA;NA;NA;NA;,0.431862,0.058789,0,0.111732,0.844457,0.447094,0.046948,0.074184,0.099404,0,0.555556,2.968037,0.046083,0.803506,2.145923,0,0.041736
Bacteria;Deinococcus-Thermus;NA;NA;NA;NA;NA;,0.335893,0.029394,0.059737,0.027933,0.122582,0.074516,0.046948,0,0,0.020400,0.427350,1.750381,0,0.401753,0.965665,0,0
Eukaryota;Ascomycota;NA;NA;NA;NA;NA;,0.047985,0.088183,0.179211,0.027933,0.108962,0.149031,0,0,0,0,0.085470,0.329782,0,0.109569,0.143062,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) phylum,4.942418,4.703115,6.810036,3.491620,3.731953,8.271236,1.455399,1.409495,10.337972,13.667891,3.760684,2.130898,3.502304,5.770636,1.734621,0.717213,0.000000
unclassified,45.345488,49.441504,44.265231,45.391062,52.846634,33.904621,13.943662,32.232937,42.942345,35.454917,55.982906,57.787925,50.737327,48.210374,45.994279,24.385247,24.582638
Bacteria;Proteobacteria;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0.023474,0.037092,0,0.020400,0.384615,0.228310,0.092166,0.073046,0.178827,0,0
Eukaryota;Chytridiomycota;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0.025368,0,0,0,0,0
Bacteria;Planctomycetes;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0.025368,0,0,0,0,0
Bacteria;Verrucomicrobia;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034153,0
