AUC,Number,ID,Season,Sex,Antibiotics,Substrate,Diet,Mom,Mom_Location,BodyMass,BodyTemp,Ketones
716.0625834,3968,P02,Spring,Female,No,Mannitol,1,3958,AgStation,150,37,0.6
14.23565,3984,P10,Spring,Female,No,Mannitol,1,3961,AgStation,169.4,38,0.9
15.18775002,4015,P13,Spring,Male,No,Mannitol,1,3957,AgStation,177.9,37,0.6
4.12525,4053,P14,Spring,Male,No,Mannitol,1,3945,Tumbledown,208.9,39,0.4
0.477416668,4178,P17,Spring,Female,Yes,Mannitol,2,4065,AgStation,163.6,38,0.4
1010.528083,4144,P18,Spring,Male,No,Mannitol,2,4061,AgStation,161.9,38,0.2
7.378416665,4149,P23,Spring,Male,Yes,Mannitol,2,4061,AgStation,170.6,38,0.4
-0.375166667,4170,P25,Spring,Male,Yes,Mannitol,2,4063,AgStation,134.7,38,0.2
9.600416665,4177,P27,Spring,Female,Yes,Mannitol,2,4064,AgStation,157.1,35,0.2
-6.107666666,4139,P29,Spring,Female,Yes,Mannitol,2,4077,AgStation,146.7,37.5,0.3
6.6975,4113,P31,Spring,Male,Yes,Mannitol,2,4066,AgStation,162.2,39.5,0.3
842.46025,4135,P37,Spring,Male,No,Mannitol,2,4076,AgStation,165.6,39,0.4
35.26933339,4078,P40,Spring,Female,No,Mannitol,2,4072,AgStation,135.2,37,0.1
16.73174999,4096,P46,Spring,Male,Yes,Mannitol,2,4068,AgStation,159.2,39.5,0.3
686.6015835,3972,S02,Summer,Female,No,Mannitol,1,3959,AgStation,99.1,36,NA
100.2350833,4031,S13,Summer,Female,No,Mannitol,1,3949,Tumbledown,190,35,NA
3.423083334,3966,S18,Summer,Male,Yes,Mannitol,1,3958,AgStation,193,36,NA
-1.644333331,3983,S19,Summer,Male,Yes,Mannitol,1,3961,AgStation,177,34,NA
1.753000001,4030,S27,Summer,Male,Yes,Mannitol,1,3949,Tumbledown,208,33.5,NA
236.3528333,4037,S28,Summer,Male,No,Mannitol,1,3956,Tumbledown,212,33.5,NA
-3.037249999,3973,S35,Summer,Female,Yes,Mannitol,1,3959,AgStation,133,32,NA
5.983249998,4008,S36,Summer,Male,No,Mannitol,1,3957,AgStation,205,31.5,NA
69.09191666,4105,S51,Summer,Female,No,Mannitol,2,4066,AgStation,165.5,37,0.4
5.780249999,4160,S52,Summer,Male,No,Mannitol,2,4063,AgStation,158.7,37,0.7
2.705583333,4171,S55,Summer,Male,Yes,Mannitol,2,4068,AgStation,156.1,36,0.2
2.1665,4084,S57,Summer,Female,Yes,Mannitol,2,4069,AgStation,180.9,36,0.4
3.174166667,4185,S58,Summer,Male,Yes,Mannitol,2,4065,AgStation,137.5,40,3.2
0.099583334,4138,S69,Summer,Male,Yes,Mannitol,2,4077,AgStation,172.8,37,0.4
2.715166667,4005,W06,Winter,Female,Yes,Mannitol,1,3955,AgStation,149,39,3.3
-0.529416666,4047,W10,Winter,Male,Yes,Mannitol,1,3954,AgStation,139,37,2.4
0.405083333,3971,W11,Winter,Female,Yes,Mannitol,1,3958,AgStation,132,36,2.8
-0.3215,3979,W16,Winter,Female,Yes,Mannitol,1,3959,AgStation,106,36,1.7
17.88091668,3969,W24,Winter,Female,No,Mannitol,1,3958,AgStation,129,38,1
2.006083333,4041,W25,Winter,Male,No,Mannitol,1,3956,AgStation,131,36,2.9
41.23733335,4039,W27,Winter,Female,No,Mannitol,1,3956,AgStation,124,37,2.6
0.825583333,3974,W28,Winter,Male,No,Mannitol,1,3959,AgStation,120,35,2.6
58.38625004,3980,W30,Winter,Male,No,Mannitol,1,3959,AgStation,141,38,2
1.559333333,4125,W45,Winter,Male,No,Mannitol,2,4070,AgStation,152.7,35.5,1.4
12.9815,4079,W48,Winter,Male,Yes,Mannitol,2,4072,AgStation,122.8,36,3.3
35.42258335,4179,W57,Winter,Male,Yes,Mannitol,2,4065,AgStation,146,38,3.2
