RelTime,Delta,CO2
-1.183333333,-21.53,0.53
-0.933333333,-20,0.8
-0.55,-19.62,0.69
0,NA,NA
0.166666667,1368.97,1.09
0.683333333,4998.1,0.59
1.016666667,3962.88,0.97
1.366666667,2795.72,1.06
1.716666667,1819.26,0.78
2.133333333,1250.65,0.82
2.5,881.83,1.04
-10.7,554.89,1.05
