RelTime,Delta,CO2
-0.866666667,-21.87,0.96
-0.55,-21.15,1.06
-0.216666667,-20.79,0.96
0,NA,NA
0.55,588.6,1.08
0.883333333,770.66,0.88
1.283333333,627.65,0.96
1.616666667,557.7,0.87
1.95,456.73,1.04
