RelTime,Delta,CO2
-1.083333333,-20.99,0.93
-0.783333333,-20.75,0.86
-0.483333333,-20.01,0.84
-0.166666667,-22.24,0.64
0,NA,NA
0.116666667,-21.04,0.64
0.4,165.19,0.73
0.7,199.55,0.69
0.966666667,411.75,0.88
1.283333333,580.36,0.93
1.6,593.47,0.71
1.883333333,584.65,0.68
