OTU,Genus,Mean,SD,SE
Otu0001,Morganella,49.1036445,56.71210898,28.35605449
Otu0002,Akkermansia,0.008415397,0.01194656,0.00597328
Otu0003,Bacteroides,0.010398469,0.020796939,0.010398469
Otu0004,Pasteurellaceae_unclassified,24.83801609,49.64276265,24.82138132
Otu0005,Prevotellaceae_unclassified,0.002079867,0.004159734,0.002079867
Otu0006,Lactobacillus,0.004159734,0.008319468,0.004159734
Otu0007,Clostridiales_vadinBB60_group_ge,21.67384693,43.34769387,21.67384693
Otu0009,Lachnospiraceae_NK4A136_group,0.002076929,0.004153859,0.002076929
Otu0011,Muribaculaceae_ge,0.002076929,0.004153859,0.002076929
Otu0012,Odoribacter,0.004188773,0.004837114,0.002418557
Otu0013,Lachnospiraceae_unclassified,0.002079694,0.004159388,0.002079694
Otu0014,Prevotella_1,0.008348506,0.006793139,0.003396569
Otu0016,Lachnospiraceae_unclassified,0.004188773,0.004837114,0.002418557
Otu0018,Bacteroidia_unclassified,0.006268467,0.004179458,0.002089729
Otu0020,Parabacteroides,0.022876633,0.045753265,0.022876633
Otu0022,Alistipes,0.006230788,0.012461577,0.006230788
Otu0026,Lachnospiraceae_unclassified,0.004159734,0.008319468,0.004159734
Otu0029,Prevotellaceae_unclassified,0.002079694,0.004159388,0.002079694
Otu0031,Prevotella_1,0.004159561,0.004803047,0.002401524
Otu0037,Bacteroides,0.004191537,0.004840255,0.002420127
Otu0039,Natranaerovirga,0.002079694,0.004159388,0.002079694
Otu0041,Ruminococcaceae_UCG-005,0.002111843,0.004223686,0.002111843
Otu0044,Parabacteroides,0.002079867,0.004159734,0.002079867
Otu0050,Christensenellaceae_R-7_group,0.004159734,0.008319468,0.004159734
Otu0068,WCHB1-41_ge,0.008318775,0.016637551,0.008318775
Otu0071,Alistipes,0.002076929,0.004153859,0.002076929
Otu0073,Clostridiales_vadinBB60_group_ge,0.615653684,1.220070199,0.610035099
Otu0076,Prevotella_1,0.002079694,0.004159388,0.002079694
Otu0079,Muribaculaceae_ge,0.002076929,0.004153859,0.002076929
Otu0084,Streptococcus,0.025054159,0.029609954,0.014804977
Otu0086,Gastranaerophilales_ge,0.002079694,0.004159388,0.002079694
Otu0091,uncultured,0.002076929,0.004153859,0.002076929
Otu0099,Lachnospiraceae_unclassified,0.002079867,0.004159734,0.002079867
Otu0114,Clostridiales_vadinBB60_group_ge,0.004223686,0.008447373,0.004223686
Otu0128,Lachnospiraceae_unclassified,0.002076929,0.004153859,0.002076929
Otu0131,Succiniclasticum,0.002111843,0.004223686,0.002111843
Otu0141,Ruminococcaceae_NK4A214_group,0.002079867,0.004159734,0.002079867
Otu0144,Erysipelotrichaceae_UCG-004,1.659908768,3.319817537,1.659908768
Otu0151,Terrisporobacter,0.004159734,0.008319468,0.004159734
Otu0153,Muribaculaceae_ge,0.002111843,0.004223686,0.002111843
Otu0158,Clostridiales_vadinBB60_group_ge,0.889085994,1.778171989,0.889085994
Otu0165,Clostridiales_vadinBB60_group_ge,0.00633553,0.012671059,0.00633553
Otu0169,Turicibacter,0.002076929,0.004153859,0.002076929
Otu0182,Anaeroplasma,0.154129641,0.302746135,0.151373068
Otu0200,Clostridiales_vadinBB60_group_ge,0.010559216,0.021118432,0.010559216
Otu0204,Ruminococcaceae_unclassified,0.002079867,0.004159734,0.002079867
Otu0213,Clostridiales_vadinBB60_group_ge,0.00633553,0.012671059,0.00633553
Otu0219,Prevotella_1,0.002079867,0.004159734,0.002079867
Otu0237,Clostridiales_vadinBB60_group_ge,0.002111843,0.004223686,0.002111843
Otu0256,Mogibacterium,0.002079867,0.004159734,0.002079867
Otu0268,Anaeroplasma,0.00633553,0.012671059,0.00633553
Otu0272,Clostridiales_unclassified,0.00633553,0.012671059,0.00633553
Otu0280,Ruminococcaceae_UCG-013,0.002111843,0.004223686,0.002111843
Otu0288,Veillonella,0.002079694,0.004159388,0.002079694
Otu0297,Lactobacillus,0.022881138,0.040327781,0.020163891
Otu0330,Ruminococcaceae_NK4A214_group,0.002079867,0.004159734,0.002079867
Otu0365,Erysipelotrichaceae_unclassified,0.416033114,0.832066227,0.416033114
Otu0372,Clostridiales_vadinBB60_group_ge,0.002111843,0.004223686,0.002111843
Otu0390,Candidatus_Soleaferrea,0.002111843,0.004223686,0.002111843
Otu0394,Ruminococcaceae_unclassified,0.00633553,0.012671059,0.00633553
Otu0417,Prevotellaceae_UCG-003,0.002111843,0.004223686,0.002111843
Otu0420,Erysipelatoclostridium,0.002079694,0.004159388,0.002079694
Otu0444,Succiniclasticum,0.002111843,0.004223686,0.002111843
Otu0464,Lachnoclostridium,0.002079694,0.004159388,0.002079694
Otu0473,Acinetobacter,0.002076929,0.004153859,0.002076929
Otu0517,Erysipelotrichaceae_ge,0.012478163,0.024956326,0.012478163
Otu0537,Clostridiales_vadinBB60_group_ge,0.029565805,0.05913161,0.029565805
Otu0551,Prevotella_1,0.002079867,0.004159734,0.002079867
Otu0569,Muribaculaceae_ge,0.002079867,0.004159734,0.002079867
Otu0626,Izimaplasmatales_ge,0.002111843,0.004223686,0.002111843
Otu0629,Prevotella_1,0.004223686,0.008447373,0.004223686
Otu0689,Burkholderia-Caballeronia-Paraburkholderia,0.002076929,0.004153859,0.002076929
Otu0707,Ruminococcus_1,0.002111843,0.004223686,0.002111843
Otu0732,Blautia,0.045753265,0.09150653,0.045753265
Otu0772,Ruminiclostridium_6,0.002111843,0.004223686,0.002111843
Otu0827,Corynebacteriaceae_unclassified,0.002111843,0.004223686,0.002111843
Otu0873,Pasteurellaceae_unclassified,0.093467355,0.176017831,0.088008915
Otu0970,Clostridiales_vadinBB60_group_ge,0.002111843,0.004223686,0.002111843
Otu1108,Sanguibacteroides,0.022876633,0.045753265,0.022876633
Otu1202,Actinomyces,0.054907924,0.109815847,0.054907924
Otu1248,Muribaculaceae_ge,0.002079867,0.004159734,0.002079867
Otu1434,Corynebacteriaceae_unclassified,0.010384647,0.020769295,0.010384647
Otu1489,Morganella,0.020797977,0.024957941,0.012478971
Otu1496,Lachnospiraceae_unclassified,0.010398469,0.020796939,0.010398469
Otu1599,Mycoplasma,0.006236663,0.007964263,0.003982132
Otu1607,Alloscardovia,0.012539698,0.010774859,0.00538743
Otu1641,Pasteurellaceae_unclassified,0.014541271,0.023861141,0.011930571
Otu1653,Bacteria_unclassified,0.002111843,0.004223686,0.002111843
Otu1752,Mycoplasma,0.00838342,0.009680903,0.004840452
Otu1824,Veillonellaceae_unclassified,0.002079867,0.004159734,0.002079867
Otu2048,Cuneatibacter,0.004159388,0.008318775,0.004159388
Otu2108,Acetitomaculum,0.002079867,0.004159734,0.002079867
Otu2232,Erysipelothrix,0.002076929,0.004153859,0.002076929
Otu3023,Clostridiales_unclassified,0.004223686,0.008447373,0.004223686
