,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37,3I-P0,3I-P1,3I-S0,3I-S2,3I-S3,3I-W3,3S-P0,3S-P1,3S-S0,3S-S3,3S-W2,3S-W3
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.597200,17.896679,9.216590,14.525993,12.692308,15.677966,15.586691,7.673569,12.810707,16.945606,26.829269,13.945578
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Pseudoflavonifractor;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.332815,2.398524,3.456221,2.446483,6.153846,2.330508,1.225919,4.628502,3.632887,2.928870,0.487805,3.401361
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.332815,2.214022,1.958525,1.223242,0.769231,2.330508,1.401051,2.436054,1.529637,1.046025,0,1.020408
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.866252,2.583026,2.880184,1.070336,1.730769,0.635593,1.401051,1.583435,1.529637,2.928870,5.853659,1.360544
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.555210,1.291513,0.576037,0.917431,2.115385,1.271186,1.926445,1.339829,1.720841,0.418410,0.487805,0.340136
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.399689,1.107011,1.382488,0.458716,0.576923,1.906780,0.875657,1.218027,1.529637,1.046025,0,0.340136
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466563,0.553506,1.036866,1.070336,0.961538,0.423729,0.875657,1.339829,1.338432,1.046025,0.975610,0.340136
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Gemmiger;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466563,0.553506,0.806452,0.458716,0.384615,0.423729,0.875657,1.339829,0.764818,0.627615,0,0.340136
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.738007,1.267281,0.611621,0.576923,0.423729,1.401051,1.339829,1.529637,0.418410,0.975610,0.340136
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Murimonas;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311042,0.184502,1.152074,0.152905,0.384615,0.635593,0.700525,0.852619,0.382409,0,0.975610,0.340136
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.332815,2.029520,1.267281,1.834862,1.923077,1.271186,2.977233,1.096224,2.294455,2.301255,0.975610,1.360544
