,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37,3I-P0,3I-P1,3I-S0,3I-S2,3I-S3,3I-W3,3S-P0,3S-P1,3S-S0,3S-S3,3S-W2,3S-W3
Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.325039,39.298893,42.741936,38.226299,38.269230,39.406780,36.952713,46.528622,40.344170,31.799164,43.902439,40.476192
Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.639193,29.335794,19.124424,28.440369,23.461538,30.508474,28.196148,13.154690,24.091778,29.497906,39.024387,26.190477
Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.576983,2.952029,3.686636,2.599388,1.923077,2.966102,2.101576,3.288672,3.059273,1.673640,2.926829,2.380952
Bacteria;Actinobacteria;Actinobacteria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.643857,1.476015,1.843318,2.446483,2.884615,1.906780,2.276707,3.166870,1.529637,3.556485,1.463415,1.020408
Bacteria;Actinobacteria;Coriobacteriia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933126,0.369004,0.691244,0.458716,0.769231,0.423729,0.350263,0.609013,0.382409,0.836820,0,0.263852
Bacteria;Elusimicrobia;Elusimicrobia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466563,0,0.345622,0.152905,0,0.211864,0.522648,0,0.382409,0,0,0.680272
Bacteria;Spirochaetes;Spirochaetia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458716,0,0.115207,0.152905,0,0.423729,0.175131,0.487211,0.187793,0,0,0
Bacteria;Firmicutes;Erysipelotrichia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344037,0.184502,0.460829,0,0.384615,0.847458,0.525394,0.121803,0.573614,0.209205,0,0.340136
Bacteria;Bacteroidetes;Cytophagia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344037,0.184502,0.345622,0.305810,0.384615,0.635593,0.350263,0,0.382409,0.209205,0,1.020408
Bacteria;Proteobacteria;Gammaproteobacteria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0,0.305810,0.961538,0,0.175131,0.243605,0.382409,0,0,0.263852
Bacteria;Bacteroidetes;Flavobacteriia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622084,0.369004,0.576037,0.917431,1.346154,0.635593,0.525394,0.852619,0.573614,1.046025,0.487805,2.040816
Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.184502,0.115207,0.305810,0.192308,0,0.175131,0.365408,0.191205,0.418410,0,0.340136
Bacteria;Proteobacteria;Deltaproteobacteria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311042,0.184502,0,0,0,0.423729,0.175131,0.121803,0,0,0,0
Bacteria;Tenericutes;Mollicutes;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244168,0.553506,0.230415,0,0.384615,0.211864,0.175131,0.121803,0.573614,0.418410,0,0.340136
Bacteria;Chloroflexi;Chloroflexia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0.184502,0,0,0.192308,0,0.175131,0,0.093897,0,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.369004,0.230415,0.305810,0.192308,0.211864,0.871080,0.487211,0.375587,0.209205,0,0.680272
Bacteria;Verrucomicrobia;Verrucomicrobiae;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0.115207,0.152905,0,0,0.175131,0.121803,0.191205,0.209205,0,0.340136
Bacteria;Chloroflexi;Anaerolineae;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0.184502,0,0.305810,0.192308,0.277008,0.175131,0.121803,0.191205,0.209205,0,0.263852
Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0,0,0.192308,0,0,0,0,0.209205,0,0
Bacteria;Verrucomicrobia;Opitutae;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.184502,0.230415,0.305810,0.192308,0.211864,0.348432,0,0.382409,0.836820,0.487805,0.680272
Viruses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.220840,8.118081,10.023042,7.798165,11.923077,7.415255,10.332749,9.987820,8.795411,7.112971,4.878048,6.802722
unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.239502,15.498155,18.894009,16.207951,15.961538,12.711865,16.987741,19.732034,17.590822,21.338913,6.829268,16.326530
Bacteria;Firmicutes;Negativicutes;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184502,0.230415,0.152905,0.192308,0.211864,0,0.121803,0.187793,0,0,0.263852
Bacteria;Acidobacteria;Blastocatellia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184502,0,0,0,0,0,0,0,0,0,0
Bacteria;Fusobacteria;Fusobacteriia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152905,0,0,0,0,0.093897,0,0,0.340136
Bacteria;Acidobacteria;Acidobacteriia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152905,0,0,0,0.121803,0.093897,0,0,0
Bacteria;Gemmatimonadetes;Gemmatimonadetes;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152905,0,0,0,0.121803,0,0,0,0
Bacteria;Chlamydiae;Chlamydiia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240964,0,0,0,0,0,0
Bacteria;Bacteroidetes;Chitinophagia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423729,0,0.121803,0.191205,0.209205,0,0
Bacteria;Thermotogae;Thermotogae;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211864,0,0,0.093897,0,0,0
Bacteria;Actinobacteria;Nitriliruptoria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174216,0,0,0,0,0
Eukaryota;Chytridiomycota;Neocallimastigomycetes;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093897,0,0,0
Bacteria;Proteobacteria;Betaproteobacteria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191205,0,0,0
