,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37,3I-P0,3I-P1,3I-S0,3I-S2,3I-S3,3I-W3,3S-P0,3S-P1,3S-S0,3S-S3,3S-W2,3S-W3
Bacteria;Firmicutes;Clostridia;Clostridiales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.169518,39.298893,42.396313,37.767582,38.269230,39.194916,36.427319,46.285019,40.152966,31.589958,43.902439,40.476192
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.328150,28.966791,18.778803,27.370029,23.461538,29.449154,27.845882,13.032887,23.135756,29.079496,39.024387,25.170067
Bacteria;Firmicutes;Bacilli;Bacillales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.332815,2.398524,2.880184,1.987768,0.961538,1.483051,1.401051,2.192448,1.912046,1.464435,2.439024,2.040816
Bacteria;Firmicutes;Bacilli;Lactobacillales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244168,0.553506,0.806452,0.611621,0.961538,1.483051,0.700525,1.096224,1.147228,0.209205,0.487805,0.340136
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.933126,0.369004,0.576037,0.458716,0.769231,0.423729,0.350263,0.609013,0.382409,0.836820,0,0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777605,0.738007,0.921659,0.764526,1.346154,1.271186,0.175131,1.218027,0.382409,1.673640,0,0.340136
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458716,0,0.115207,0.152905,0,0.211864,0.175131,0.487211,0.187793,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.088647,0.738007,0.576037,1.070336,0.576923,0.211864,0.700525,0.609013,0.191205,1.046025,0.975610,0.340136
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466563,0,0.230415,0.611621,0.576923,0.211864,0.350263,0.609013,0.191205,0.418410,0,0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344037,0.184502,0.460829,0,0.384615,0.847458,0.525394,0.121803,0.573614,0.209205,0,0.340136
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344037,0.184502,0.345622,0.305810,0.384615,0.635593,0.350263,0,0.382409,0.209205,0,1.020408
Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344037,0,0,0,0,0,0.174216,0,0.281690,0,0,0.263852
Bacteria;Bacteroidetes;Bacteroidia;Marinilabiliales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311042,0.369004,0.345622,0.917431,0,1.059322,0.350263,0.121803,0.956023,0.418410,0,1.020408
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229358,0,0,0,0.384615,0.277008,0.175131,0.121803,0.187793,0,0.487805,0
Bacteria;Elusimicrobia;Elusimicrobia;Elusimicrobiales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311042,0,0.115207,0,0,0,0.174216,0,0.281690,0,0,0
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0.115207,0.152905,0,0,0.175131,0.121803,0.191205,0.209205,0,0.340136
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0.115207,0,0,0.211864,0.175131,0,0.191205,0.209205,0,0.340136
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0,0,0,0.277008,0.350263,0.121803,0.093897,0.209205,0,0.263852
Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0,0,0,0,0.175131,0.365408,0.382409,0,0,0
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0,0.305810,0,0,0.175131,0,0.382409,0,0,0.263852
Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.244168,0.553506,0.230415,0,0.384615,0.211864,0.175131,0.121803,0.573614,0.418410,0,0.340136
Bacteria;Chloroflexi;Chloroflexia;Herpetosiphonales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0.184502,0,0,0.192308,0,0.175131,0,0.093897,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622084,0.369004,0.460829,0.917431,1.153846,0.423729,0.525394,0.852619,0.382409,1.046025,0.487805,1.700680
Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.369004,0.230415,0.305810,0.192308,0.211864,0.871080,0.487211,0.375587,0.209205,0,0.680272
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.184502,0.115207,0.305810,0.192308,0,0.175131,0.365408,0.187793,0.209205,0,0.340136
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0,0,0,0.211864,0.175131,0.121803,0,0,0,0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0.184502,0,0.305810,0.192308,0.277008,0.175131,0.121803,0.191205,0.209205,0,0.263852
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0,0,0.192308,0,0,0,0,0.209205,0,0
Bacteria;Verrucomicrobia;Opitutae;Puniceicoccales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679,0,0.115207,0.152905,0,0.277008,0,0,0.191205,0.418410,0,0.680272
Viruses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) order,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.531881,8.118081,10.253456,8.256881,12.307693,7.203390,10.332749,10.109623,9.177820,7.112971,4.878048,7.823129
unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.239502,15.498155,18.894009,16.207951,15.961538,12.711865,16.987741,19.732034,17.590822,21.338913,6.829268,16.326530
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.184502,0,0,0,0.211864,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Halanaerobiales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0,0.230415,0.305810,0,0,0.350263,0.121803,0.191205,0,0,0
Bacteria;Verrucomicrobia;Opitutae;Opitutales;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155521,0.184502,0.115207,0.152905,0.192308,0.211864,0.348432,0,0.191205,0.418410,0.487805,0
