,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37,3I-P0,3I-P1,3I-S0,3I-S2,3I-S3,3I-W3,3S-P0,3S-P1,3S-S0,3S-S3,3S-W2,3S-W3
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.085536,18.265682,19.470047,19.724771,17.692308,17.372881,19.264448,21.559074,17.782026,10.669456,21.951220,14.625851
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.864697,9.040590,9.792626,7.645260,10.961538,9.957627,6.654991,13.154690,10.707457,8.995816,3.414634,10.544217
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.618974,18.081181,9.331797,15.137614,12.884615,16.313559,15.936953,7.917174,13.957935,17.154812,27.317074,14.625851
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.576983,3.690037,4.493088,2.293578,2.692308,2.330508,3.852890,2.801462,2.294455,4.602510,13.170731,6.462585
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.643857,2.767528,2.304147,3.669725,2.115385,2.754237,3.502627,0.852619,3.250478,3.138075,0.487805,0.680272
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.488336,2.029520,1.612903,1.834862,1.923077,1.271186,3.327496,1.218027,2.294455,2.301255,0.975610,1.360544
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.710731,1.660517,2.188940,1.529052,0.576923,1.059322,0.700525,1.339829,1.147228,0.627615,1.951220,1.020408
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311042,1.845018,0.921659,1.376147,0.961538,1.694915,1.576182,0.487211,0.382409,0.836820,2.439024,1.360544
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.710731,2.029520,2.073733,2.905199,1.923077,3.177966,1.225919,1.461632,0.956023,3.138075,5.365854,3.061224
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777605,0.738007,0.921659,0.764526,1.346154,1.271186,0.175131,1.218027,0.382409,1.673640,0,0.340136
