,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA;,42.857143,30.769232,17.647058,26.923079,25.000000,13.333334,30.000002,8.333334,30.769232,25.000000,27.272728,6.666667,27.586206,38.888889,31.578945,0,38.888889,57.142860
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;,9.523809,15.384616,23.529411,7.692308,17.857143,33.333336,15.000001,25.000000,23.076923,20.833332,9.090909,26.666668,6.896552,22.222223,15.789473,66.666672,16.666668,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;,9.523809,0,0,11.538462,0,0,0,0,7.692308,4.166667,4.545455,0,3.448276,0,0,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;NA;NA;,4.761905,3.846154,0,0,0,6.666667,0,0,0,0,4.545455,6.666667,0,5.555556,5.263158,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA;,4.761905,19.230770,11.764706,15.384616,17.857143,20.000000,0,0,7.692308,16.666668,4.545455,6.666667,10.344828,11.111112,15.789473,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;NA;NA;,4.761905,3.846154,5.882353,7.692308,7.142858,0,5.000000,8.333334,15.384616,4.166667,0,0,3.448276,5.555556,5.263158,16.666668,11.111112,14.285715
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) family,23.809525,19.230770,35.294117,23.076923,17.857143,26.666668,35.000000,41.666664,7.692308,25.000000,40.909092,46.666668,34.482758,11.111112,15.789473,0.000000,27.777779,0.000000
unclassified,0.000000,3.846154,0.000000,3.846154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.545455,6.666667,6.896552,0.000000,0.000000,0.000000,0.000000,0.000000
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;NA;NA;,0,3.846154,0,0,3.571429,0,0,0,0,0,0,0,0,0,5.263158,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;NA;NA;,0,0,5.882353,0,3.571429,0,0,8.333334,7.692308,0,0,0,0,5.555556,0,16.666668,5.555556,14.285715
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;,0,0,0,3.846154,3.571429,0,5.000000,0,0,4.166667,4.545455,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;NA;NA;,0,0,0,0,3.571429,0,5.000000,0,0,0,0,0,3.448276,0,5.263158,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;,0,0,0,0,0,0,5.000000,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;NA;NA;,0,0,0,0,0,0,0,8.333334,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,3.448276,0,0,0,0,0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.285715
