,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA;,9.523809,15.384616,23.529411,7.692308,17.857143,33.333336,15.000001,25.000000,23.076923,20.833332,9.090909,26.666668,6.896552,22.222223,15.789473,66.666672,16.666668,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA;,4.761905,15.384616,11.764706,15.384616,17.857143,20.000000,0,0,7.692308,16.666668,4.545455,6.666667,10.344828,11.111112,15.789473,0,0,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;NA;,4.761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA;,4.761905,3.846154,5.882353,7.692308,7.142858,0,5.000000,8.333334,15.384616,4.166667,0,0,3.448276,5.555556,5.263158,16.666668,11.111112,14.285715
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) genus,76.190475,50.000000,52.941177,53.846157,42.857143,40.000000,65.000000,50.000000,46.153847,54.166668,68.181816,53.333336,62.068962,50.000000,47.368423,0.000000,66.666672,42.857143
unclassified,0.000000,3.846154,0.000000,3.846154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.545455,6.666667,6.896552,0.000000,0.000000,0.000000,0.000000,0.000000
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;NA;,0,3.846154,0,0,0,6.666667,0,0,0,0,4.545455,6.666667,0,5.555556,5.263158,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA;,0,3.846154,0,0,3.571429,0,0,0,0,0,0,0,0,0,5.263158,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Candidatus Amulumruptor;NA;,0,3.846154,0,0,0,0,0,0,0,0,0,0,3.448276,0,0,0,0,14.285715
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;NA;,0,0,5.882353,0,3.571429,0,0,8.333334,7.692308,0,0,0,0,5.555556,0,16.666668,5.555556,14.285715
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnobacterium;NA;,0,0,0,3.846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor;NA;,0,0,0,3.846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Fournierella;NA;,0,0,0,3.846154,3.571429,0,0,0,0,4.166667,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;NA;,0,0,0,0,3.571429,0,5.000000,0,0,0,0,0,3.448276,0,5.263158,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;NA;,0,0,0,0,0,0,5.000000,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Neglecta;NA;,0,0,0,0,0,0,5.000000,0,0,0,4.545455,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonamonadaceae;Dysgonomonas;NA;,0,0,0,0,0,0,0,8.333334,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Dorea;NA;,0,0,0,0,0,0,0,0,0,0,4.545455,0,0,0,0,0,0,0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;NA;,0,0,0,0,0,0,0,0,0,0,0,0,3.448276,0,0,0,0,0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.285715
