,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA;Muribaculaceae bacterium Isolate-013 (NCI);,33.333336,15.384616,5.882353,19.230770,14.285715,6.666667,15.000001,8.333334,23.076923,16.666668,4.545455,6.666667,10.344828,16.666668,21.052631,0,38.888889,28.571430
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA;Bacteroidales bacterium;,14.285715,7.692308,11.764706,3.846154,3.571429,0,20.000000,16.666668,7.692308,8.333334,13.636364,20.000000,6.896552,0,10.526316,0,11.111112,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides acidifaciens;,4.761905,0,0,3.846154,3.571429,6.666667,5.000000,8.333334,0,4.166667,4.545455,6.666667,0,0,0,16.666668,5.555556,0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;Kocuria polaris;,4.761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella sp. tc2-28;,4.761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. CH2-D42-20;,4.761905,0,0,3.846154,3.571429,0,0,0,0,0,0,0,0,0,5.263158,16.666668,5.555556,14.285715
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) species,33.333336,26.923079,29.411766,23.076923,25.000000,33.333336,35.000000,25.000000,23.076923,20.833332,36.363636,33.333336,41.379311,38.888889,31.578945,33.333336,16.666668,14.285715
unclassified,0.000000,3.846154,0.000000,3.846154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.545455,6.666667,6.896552,0.000000,0.000000,0.000000,0.000000,0.000000
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella paludivivens;,0,7.692308,5.882353,11.538462,7.142858,13.333334,0,0,0,8.333334,0,6.666667,0,5.555556,10.526316,0,0,0
