RelTime,Delta,CO2
-0.65,-28.09,0.74
-0.416666667,-26.74,0.87
-0.116666667,-26.32,1.06
0,NA,NA
0.2,1205.88,0.79
0.45,3994.79,0.98
0.716666667,5718.2,0.71
0.983333333,5629.75,0.8
1.25,5471.32,0.85
1.516666667,5419.09,0.76
1.8,5419.09,0.73
2.066666667,4652.21,0.91
2.333333333,3792.32,0.94
2.616666667,3257.3,0.99
3.05,2818.14,1.12
