RelTime,Delta,CO2
-1.3,-20.92,1.13
-0.9,-21.62,1.11
-0.55,-21.45,1
0,NA,NA
0.133333333,525.04,0.76
0.516666667,6682.2,1
0.933333333,6223.66,0.95
1.3,4930.53,0.9
1.666666667,2967,0.66
1.95,2446.1,1.13
2.35,1640.84,0.81
2.683333333,1268.19,1.14
