RelTime,Delta,CO2
-0.783333333,-21.29,0.84
-0.5,-21.12,0.99
-0.15,-21.24,0.86
0,NA,NA
0.133333333,-24.91,1.36
0.5,-22.24,0.71
0.766666667,-20.82,0.91
1.216666667,-22.41,0.53
1.483333333,-21.73,0.68
1.733333333,-21.35,0.89
2.05,-21.52,0.97
2.383333333,-21.52,0.69
2.766666667,-22.87,0.59
3.033333333,-21.82,1.2
