,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37,9I-P0,9I-P1,9I-S0,9I-S2,9I-S3,9I-W3,9S-P0,9S-P1,9S-S0,9S-S3,9S-W2,9S-W3
Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.000000,34.782608,70.588234,37.500000,40.000000,20.000000,46.875000,43.333332,13.636364,35.000000,22.222223,57.142860
Bacteria;Bacteroidetes;Bacteroidia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.714287,43.478260,29.411766,37.500000,26.666668,50.000000,25.000000,23.333334,50.000000,60.000004,44.444447,42.857143
Eukaryota;Ciliophora;Litostomatea;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846154,0,0,0,0,0,0,0,2.083333,0,0,0
Bacteria;Firmicutes;Bacilli;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846154,0,0,0,0,6.666667,0,0,4.545455,0,0,0
Bacteria;Chloroflexi;Ktedonobacteria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846154,0,0,8.333334,0,0,6.250000,3.333333,9.090909,0,0,0
Viruses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,4.347826,0.000000,4.166667,6.666667,10.000000,9.375000,6.666667,9.090909,5.000000,11.111112,28.571430
unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.714286,13.043478,0.000000,8.333334,26.666668,10.000000,12.500000,20.000000,13.636364,0.000000,0.000000,14.285715
Bacteria;Bacteroidetes;Chitinophagia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.571429,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Sphingobacteriia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.347826,0,0,0,10.000000,0,0,0,0,11.111112,0
Bacteria;Bacteroidetes;Saprospiria;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166667,0,0,0,0,0,0,0,0
Bacteria;Bacteroidetes;Flavobacteriia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666667,0,3.333333,0,0,0,0
Bacteria;Spirochaetes;Spirochaetia;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111112,0
