,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W36,S-W37,S-W20
Bacteria;Firmicutes;NA;NA;NA;NA;NA;,61.538464,50.000000,34.782608,70.588234,37.500000,40.000000,10.000000,33.333336,20.000000,52.631580,50.000000,46.666668,39.583336,27.272728,40.000000,28.571430,71.428574,22.222223
Bacteria;Bacteroidetes;NA;NA;NA;NA;NA;,15.384616,39.285713,52.173912,29.411766,45.833336,26.666668,70.000000,46.666668,70.000000,36.842106,25.000000,26.666668,16.666668,50.000000,60.000004,42.857143,14.285715,66.666672
Eukaryota;Ciliophora;NA;NA;NA;NA;NA;,3.846154,0,0,0,0,0,0,0,0,0,0,0,2.083333,0,0,0,0,0
Bacteria;Chloroflexi;NA;NA;NA;NA;NA;,3.846154,0,0,0,8.333334,0,0,0,0,0,6.250000,3.333333,2.083333,9.090909,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) phylum,0.000000,0.000000,0.000000,0.000000,0.000000,6.666667,0.000000,6.666667,0.000000,0.000000,6.250000,3.333333,14.583333,0.000000,0.000000,0.000000,0.000000,0.000000
unclassified,15.384616,10.714286,13.043478,0.000000,8.333334,26.666668,20.000000,13.333334,10.000000,10.526316,12.500000,20.000000,25.000000,13.636364,0.000000,28.571430,14.285715,0.000000
Bacteria;Spirochaetes;NA;NA;NA;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.111112
