RelTime,Delta,CO2
-0.866666667,-23.98,0.68
-0.55,-23.69,0.87
-0.233333333,-24.03,0.73
0,NA,NA
0.383333333,-10.89,0.83
0.716666667,-6.43,0.86
1.016666667,54.53,0.56
1.316666667,83.67,0.82
1.666666667,94.03,0.56
1.966666667,108.98,0.75
2.266666667,124.36,0.86
2.616666667,126.01,0.85
2.933333333,127.96,0.89
