RelTime,Delta,CO2
-1.366666667,-20.12,1.05
-1.116666667,-18.98,0.78
-0.833333333,-20.48,0.76
0,NA,NA
0.3,-20.92,0.78
0.566666667,-21.57,1
0.816666667,-22.01,0.84
1.116666667,-20.87,0.92
1.383333333,-18.41,0.42
1.633333333,-20.23,0.91
1.9,-20.24,0.66
2.233333333,-20.9,0.66
2.716666667,-21.29,0.65
2.933333333,-23.1,0.91
