RelTime,Delta,CO2
-0.483333333,-25.78,0.99
-0.15,-25.47,0.78
0,NA,NA
0.2,-26.68,0.7
0.45,-25.91,1.02
0.75,-26.09,1.05
1.033333333,-25.8,1.03
1.366666667,-26.11,0.61
1.716666667,-24.35,0.94
2.083333333,-25.97,0.82
2.433333333,-25.99,0.69
2.683333333,-25.89,1.08
3,-26.02,0.83
,,
