RelTime,Delta,CO2
-0.616666667,-25.47,0.71
-0.366666667,-24.68,0.68
-0.116666667,-25.03,0.98
0,NA,NA
0.3,-25.07,0.71
0.6,NA,NA
0.9,-24.93,0.96
1.2,-24.28,0.72
1.5,-23.73,0.79
1.8,-23.77,0.8
2.1,-24.59,1.08
2.4,-23.03,0.76
2.683333333,-23.45,0.54
2.966666667,-22.9,0.94
