RelTime,Delta,CO2
-0.816666667,-25.57,0.86
-0.533333333,-25.47,0.87
-0.25,-25.18,0.86
0,NA,NA
0.083333333,-31.58,0.68
0.366666667,-20.23,1.2
0.683333333,-12.01,1.05
1.016666667,-10.94,0.76
1.3,-9.3,0.85
1.566666667,-5.41,1.13
1.866666667,0.4,1.08
2.183333333,-0.94,0.98
2.5,-0.34,1.2
2.816666667,-1.5,0.96
