RelTime,Delta,CO2
-0.716666667,-24.73,0.68
-0.433333333,-24.49,0.9
-0.15,-25.28,1.04
0,NA,NA
0.15,-32.97,1.1
0.466666667,-25.76,0.65
0.733333333,-22.11,0.76
1,-14.32,0.68
1.3,-14.19,0.67
1.55,-9.22,0.65
1.85,-6.98,0.86
2.133333333,-6.75,0.7
2.4,-4.55,0.59
2.65,-3.72,0.78
2.95,-3.91,0.72
