,I-P01,I-P07,I-P11,I-S07,I-S29,I-S34,I-W31,I-W32,I-W33,S-P03,S-P09,S-P12,S-S05,S-S08,S-S32,S-W20,S-W36,S-W37
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;NA;NA;,14.285715,0,14.285715,10.000000,0,12.500000,0,12.500000,16.666668,0,0,14.285715,5.000000,0,20.000000,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA;,14.285715,16.666668,14.285715,0,16.666668,0,37.500000,25.000000,66.666672,42.857143,20.000000,7.142858,15.000001,0,20.000000,80.000000,44.444447,25.000000
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;NA;NA;,14.285715,0,0,0,0,12.500000,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA;NA;,14.285715,33.333336,28.571430,20.000000,0,12.500000,0,0,0,14.285715,20.000000,14.285715,20.000000,0,20.000000,0,22.222223,12.500000
Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;NA;NA;,14.285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viruses,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cannot be assigned to a (non-viral) family,0.000000,16.666668,42.857143,30.000002,33.333336,0.000000,37.500000,37.500000,0.000000,14.285715,40.000000,0.000000,10.000000,0.000000,20.000000,0.000000,11.111112,0.000000
unclassified,28.571430,33.333334,0.000000,40.000001,50.000000,37.500000,12.500000,12.500000,16.666667,14.285715,20.000000,57.142860,34.999999,100.000000,20.000000,0.000000,11.111111,25.000000
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;NA;NA;,0,0,0,0,0,12.500000,12.500000,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA;NA;,0,0,0,0,0,12.500000,0,12.500000,0,14.285715,0,7.142858,15.000001,0,0,20.000000,11.111112,25.000000
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;NA;NA;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.500000
